Row Label,County,Approved,Rejected
PCT 6210,SP,530,85
PCT 6219,SP,463,118
PCT 6211,SP,313,90
PCT 6100,SP,221,58
PCT 6101,SP,289,119
PCT 6102,SP,326,90
PCT 6103,SP,133,39
PCT 6104,SP,232,85
PCT 6105,SP,284,92
PCT 6106,SP,400,148
PCT 6107,SP,231,94
PCT 6108,SP,284,54
PCT 6109,SP,194,62
PCT 6212,SP,231,83
PCT 6213,SP,430,164
PCT 6214,SP,391,90
PCT 6215,SP,530,94
PCT 6216,SP,441,88
PCT 6217,SP,496,87
PCT 3208,SP,306,137
PCT 3209,SP,370,157
PCT 3200,SP,320,46
PCT 3201,SP,436,73
PCT 3202,SP,227,48
PCT 3203,SP,357,75
PCT 3204,SP,309,43
PCT 3205,SP,350,47
PCT 3206,SP,273,79
PCT 3207,SP,188,51
PCT 3110,SP,197,92
PCT 3111,SP,192,100
PCT 3112,SP,15,9
PCT 3113,SP,286,129
PCT 3114,SP,291,121
PCT 3115,SP,298,118
PCT 3116,SP,275,155
PCT 3117,SP,193,86
PCT 3118,SP,211,75
PCT 3119,SP,243,102
PCT 6201,SP,348,112
PCT 6200,SP,495,132
PCT 6207,SP,548,103
PCT 6206,SP,550,111
PCT 6205,SP,575,76
PCT 6204,SP,679,89
PCT 3219,SP,401,64
PCT 3218,SP,542,65
PCT 3213,SP,474,73
PCT 3212,SP,352,50
PCT 3211,SP,403,59
PCT 3210,SP,378,72
PCT 3217,SP,461,150
PCT 3216,SP,526,123
PCT 3215,SP,260,60
PCT 3214,SP,404,83
PCT 3103,SP,187,94
PCT 3102,SP,158,81
PCT 3101,SP,213,106
PCT 3100,SP,242,113
PCT 3107,SP,263,122
PCT 3106,SP,245,102
PCT 3105,SP,245,97
PCT 3104,SP,274,121
PCT 3109,SP,244,109
PCT 3108,SP,202,83
PCT 3222,SP,208,40
PCT 3223,SP,268,61
PCT 3220,SP,535,57
PCT 3221,SP,392,154
PCT 6221,SP,535,151
PCT 6220,SP,488,123
PCT 6223,SP,559,87
PCT 6222,SP,387,71
PCT 6225,SP,481,104
PCT 6224,SP,461,60
PCT 6312,SP,323,105
PCT 6302,SP,276,92
PCT 3128,SP,257,113
PCT 6300,SP,593,208
PCT 6301,SP,562,204
PCT 6306,SP,353,140
PCT 6307,SP,188,90
PCT 6304,SP,514,166
PCT 6305,SP,257,89
PCT 3121,SP,247,127
PCT 3120,SP,280,104
PCT 3123,SP,227,123
PCT 3122,SP,417,78
PCT 3125,SP,250,106
PCT 3124,SP,283,109
PCT 3127,SP,334,42
PCT 3126,SP,52,32
PCT 3329,SP,313,64
PCT 3328,SP,357,102
PCT 3323,SP,360,122
PCT 3322,SP,271,111
PCT 3321,SP,407,113
PCT 3320,SP,296,65
PCT 3327,SP,271,72
PCT 3326,SP,141,49
PCT 3325,SP,443,108
PCT 3324,SP,353,103
PCT 6208,SP,529,105
PCT 6315,SP,225,88
PCT 6314,SP,348,129
PCT 6317,SP,288,101
PCT 6316,SP,219,34
PCT 6311,SP,319,118
PCT 6310,SP,352,98
PCT 6313,SP,420,121
PCT 6303,SP,575,173
PCT 6318,SP,345,85
PCT 6203,SP,581,82
PCT 6202,SP,403,110
PCT 3318,SP,322,122
PCT 3319,SP,309,98
PCT 3316,SP,488,104
PCT 3317,SP,527,151
PCT 3314,SP,298,116
PCT 3315,SP,389,146
PCT 3312,SP,433,175
PCT 3313,SP,477,164
PCT 3310,SP,362,123
PCT 3311,SP,234,69
PCT 6308,SP,251,63
PCT 6309,SP,416,109
PCT 6209,SP,396,98
PCT 3301,SP,514,134
PCT 3300,SP,360,102
PCT 3303,SP,331,134
PCT 3302,SP,335,149
PCT 3305,SP,271,120
PCT 3304,SP,332,133
PCT 3307,SP,253,90
PCT 3306,SP,345,124
PCT 3309,SP,331,121
PCT 3308,SP,333,147
PCT 6218,SP,426,87
Total,SP,47701,13801
