Row Label,County,Approved,Registered Voters,Rejected,Times Blank Voted,Times Counted,Times Over Voted
BOT 01-0257,KI,202,718,207,8,417,0
BOT 01-0256,KI,197,670,210,10,417,0
BOT 01-0255,KI,180,750,239,9,428,0
BOT 01-0254,KI,161,561,134,16,311,0
BOT 01-0253,KI,116,400,106,7,229,0
BOT 01-1224,KI,182,748,216,16,414,0
BOT 01-1207,KI,139,553,133,10,282,0
BOT 01-3321,KI,109,430,168,16,293,0
BOT 01-0259,KI,127,430,104,14,245,0
BOT 01-0258,KI,214,817,212,14,440,0
BOT 01-2677,KI,86,344,113,5,204,0
BOT 01-2676,KI,174,825,191,26,391,0
BOT 45-3620,KI,28,149,34,1,63,0
BOT 01-2495,KI,103,580,187,14,304,0
BOT 01-2865,KI,103,356,98,4,205,0
BOT 01-0262,KI,180,779,168,19,367,0
BOT 01-0260,KI,243,769,207,32,482,0
BOT 01-0261,KI,184,634,178,16,378,0
BOT 01-3195,KI,111,510,128,11,250,0
BOT 01-3661,KI,116,528,118,11,245,0
BOT 01-3420,KI,66,399,128,11,205,0
BOT 01-2473,KI,108,481,138,10,256,0
BOT 01-3398,KI,133,656,189,28,350,0
BOT 01-3271,KI,105,431,110,14,229,0
BOT 01-0868,KI,128,650,143,21,292,0
BOT 01-0252,KI,156,514,145,7,308,0
