Row Label,County,Mary E. Fairhurst
BELFAIR,MA,327
MILL CREEK,MA,457
HARSTINE,MA,487
DAYTON,MA,287
DOWNTOWN,MA,308
AIRPORT,MA,450
MATLOCK,MA,318
AGATE,MA,341
JOHN&#39;S PRAIRIE,MA,292
OLYMPIC VIEW,MA,447
ISABELLA,MA,220
CUSHMAN,MA,461
MASON LAKE,MA,317
SAND HILL,MA,435
KAMILCHE POINT,MA,214
HILLCREST,MA,271
EELLS,MA,123
BORDEAUX,MA,60
ANGLESIDE,MA,388
ARCADIA,MA,413
HOOD CANAL,MA,410
UNION,MA,574
LIMERICK,MA,515
FAWN LAKE,MA,436
TIGER LAKE,MA,210
PICKERING,MA,353
CALLANAN,MA,12
KAMILCHE,MA,161
VICTOR,MA,268
TWANOH,MA,241
OAKLAND BAY,MA,284
TAHUYA,MA,379
ALLYN,MA,649
DEWATTO,MA,415
TIMBERLAKE,MA,477
GRAPEVIEW,MA,466
FAIR HARBOR,MA,271
TRAIL&#39;S END,MA,418
SKOKOMISH,MA,91
Total,MA,13246
