Row Label,County,Approved,Rejected
LEMOLO 435,KP,282,159
BIG VALLEY 441,KP,231,143
KEYPORT 425,KP,159,61
SCANDIA 455,KP,306,212
BELLA VISTA 413,KP,277,135
LOFALL 442,KP,467,251
GAMBLEWOOD 454,KP,35,22
VINLAND 412,KP,409,190
LINCOLN 440,KP,286,175
LUOTO 122,KP,158,116
SANDY HOOK 464,KP,176,77
BREIDABLIK 410,KP,358,150
PEARSON 445,KP,330,193
POULSBO 405,KP,396,130
POULSBO 404,KP,412,144
POULSBO 407,KP,291,128
POULSBO 406,KP,477,160
POULSBO 401,KP,489,145
TOTTEN 463,KP,109,51
POULSBO 403,KP,335,114
PORT GAMBLE 450,KP,281,173
Total,KP,6264,2929
