Row Label,County,Yes,No
CAMANO 08,IS,284,196
CAMANO 09,IS,328,373
S WHIDBEY 09,IS,382,447
S WHIDBEY 08,IS,231,469
N WHIDBEY 04,IS,530,266
N WHIDBEY 05,IS,261,142
N WHIDBEY 06,IS,226,173
N WHIDBEY 07,IS,328,234
S WHIDBEY 03,IS,400,509
S WHIDBEY 02,IS,304,534
S WHIDBEY 01,IS,312,560
CAMANO 03,IS,361,358
S WHIDBEY 07,IS,308,527
S WHIDBEY 06,IS,294,499
S WHIDBEY 05,IS,331,585
S WHIDBEY 04,IS,248,543
N WHIDBEY 01,IS,455,284
N WHIDBEY 03,IS,359,170
CAMANO 01,IS,273,292
C WHIDBEY 03,IS,349,482
C WHIDBEY 02,IS,389,468
C WHIDBEY 01,IS,298,174
COUPEVILLE,IS,299,510
C WHIDBEY 05,IS,323,488
C WHIDBEY 04,IS,389,420
N WHIDBEY 02,IS,452,226
N WHIDBEY 08,IS,277,186
N WHIDBEY 09,IS,266,160
CAMANO 02,IS,386,355
N WHIDBEY 11,IS,64,46
N WHIDBEY 10,IS,123,61
S WHIDBEY 10,IS,276,531
CAMANO 04,IS,467,492
CAMANO 05,IS,387,406
CAMANO 06,IS,376,372
CAMANO 11,IS,356,338
CAMANO 10,IS,267,276
CAMANO 07,IS,309,337
OAK HARBOR 08,IS,306,229
OAK HARBOR 09,IS,101,54
OAK HARBOR 01,IS,345,276
OAK HARBOR 02,IS,306,152
OAK HARBOR 03,IS,322,276
OAK HARBOR 04,IS,366,242
OAK HARBOR 05,IS,341,289
OAK HARBOR 06,IS,314,214
OAK HARBOR 07,IS,353,290
LANGLEY,IS,127,467
Total,IS,15149,15978
