Row Label,County,Approved,Rejected
LYNNWOOD 30,SN,140,192
LYNNWOOD 33,SN,142,173
LYNNWOOD 34,SN,81,80
LYNNWOOD  5,SN,81,80
LYNNWOOD  4,SN,118,110
LYNNWOOD  7,SN,161,179
LYNNWOOD  6,SN,131,127
LYNNWOOD  1,SN,91,55
LYNNWOOD  3,SN,119,148
LYNNWOOD  2,SN,113,105
LYNNWOOD  9,SN,160,173
LYNNWOOD  8,SN,94,122
LYNNWOOD 31(*),SN,0,0
LYNNWOOD 23,SN,148,110
LYNNWOOD 22,SN,90,105
LYNNWOOD 21,SN,109,183
LYNNWOOD 20,SN,144,137
LYNNWOOD 26,SN,155,156
LYNNWOOD 25,SN,174,189
LYNNWOOD 24,SN,131,87
LYNNWOOD 29,SN,189,186
LYNNWOOD 28,SN,68,110
Total,SN,3892,4362
LYNNWOOD 18,SN,122,161
LYNNWOOD 19,SN,112,188
LYNNWOOD 32(*),SN,0,0
LYNNWOOD 12,SN,143,146
LYNNWOOD 13,SN,104,122
LYNNWOOD 10,SN,92,83
LYNNWOOD 11,SN,133,162
LYNNWOOD 16,SN,110,148
LYNNWOOD 17,SN,159,220
LYNNWOOD 14,SN,99,126
LYNNWOOD 15,SN,95,116
