Row Label,County,Mary Yu,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
ISS 41-3554,KI,179,416,102,281,0,0
KEN 33-3232,KI,132,502,72,204,0,0
SEA 46-1968,KI,110,297,66,177,0,1
SEA 36-1391,KI,138,439,122,262,0,2
SEA 36-1390,KI,109,290,80,191,0,2
SEA 36-1393,KI,123,297,85,209,0,1
SEA 36-1392,KI,145,411,109,255,0,1
SEA 36-1395,KI,158,444,114,276,0,4
SEA 36-1394,KI,177,559,154,336,0,5
SEA 36-1397,KI,116,357,117,233,0,0
SEA 36-1396,KI,93,282,71,166,0,2
SEA 36-1399,KI,128,296,76,205,0,1
SEA 36-1398,KI,156,503,107,265,0,2
COV 47-2843,KI,231,792,161,395,1,2
BILOXI,KI,166,430,119,287,0,2
SHL 32-1209,KI,154,478,105,262,0,3
SEA 46-3687,KI,78,220,65,143,0,0
KIR 48-2731,KI,138,483,91,233,0,4
SEA 36-1403,KI,113,497,118,234,0,3
SEA 36-1402,KI,118,381,88,206,0,0
KEN 47-0835,KI,166,645,109,276,0,1
M-V 05-3368,KI,193,748,151,350,1,5
SEA 34-3637,KI,202,567,104,309,0,3
FED 30-3236,KI,234,746,113,351,0,4
FED 30-3237,KI,220,745,150,376,0,6
FED 30-3234,KI,109,382,54,163,0,0
FED 30-3235,KI,105,400,62,172,0,5
FED 30-3238,KI,104,359,42,148,0,2
SEA 37-1936,KI,128,296,94,222,0,0
BEL 48-2559,KI,160,431,97,259,0,2
SEA 37-1934,KI,274,784,189,472,0,9
AUB 30-0067,KI,111,430,52,164,0,1
WINTERGREEN,KI,103,279,58,161,0,0
TROUT LAKE,KI,215,719,126,352,0,11
SEA 34-1502,KI,110,342,110,223,0,3
ISS 05-0550,KI,100,300,66,172,0,6
SHL 32-0423,KI,128,389,96,224,0,0
SHL 32-0920,KI,103,314,84,188,0,1
SEA 37-1638,KI,101,505,60,162,0,1
SHL 32-0424,KI,116,318,74,192,0,2
SEA 37-1635,KI,118,524,79,199,0,2
SEA 37-1634,KI,115,473,74,191,0,2
SEA 37-1637,KI,210,760,78,295,0,7
SEA 37-1636,KI,165,586,48,217,0,4
SEA 37-1631,KI,104,301,81,187,0,2
GRAFF,KI,35,105,29,64,0,0
SEA 37-1633,KI,100,329,62,163,0,1
SEA 37-1632,KI,107,292,63,173,0,3
SEA 36-1715,KI,88,355,81,172,0,3
SEA 36-1714,KI,183,526,136,321,0,2
SEA 36-1717,KI,75,251,59,134,0,0
SEA 36-1716,KI,90,357,86,177,0,1
SEA 36-1711,KI,218,760,155,379,0,6
SEA 36-1710,KI,89,351,66,157,0,2
SEA 36-1713,KI,91,362,83,176,0,2
SEA 36-1712,KI,168,463,101,269,0,0
KMR 46-1181,KI,110,295,57,169,0,2
SEA 36-1719,KI,185,510,111,299,0,3
SEA 36-1718,KI,82,318,72,155,0,1
TUK 11-2949,KI,154,585,70,225,0,1
AUB 47-0059,KI,208,678,156,365,0,1
RNT 11-2815,KI,146,677,67,215,0,2
KIR 45-2679,KI,198,614,178,379,0,3
AUB 47-0055,KI,92,391,63,156,0,1
SEA 11-1928,KI,70,298,72,145,0,3
SEA 43-2850,KI,111,359,70,182,0,1
SHL 32-0527,KI,186,626,81,274,0,7
KIR 45-2471,KI,281,720,166,453,0,6
KEN 47-0498,KI,59,231,33,94,0,2
SHL 32-0335,KI,122,414,70,195,0,3
PTARMIGAN,KI,113,344,77,195,0,5
SPRING LAKE,KI,215,745,214,431,0,2
SEA 36-2170,KI,157,450,127,285,0,1
SEA 36-2171,KI,171,491,156,329,0,2
SEA 36-2172,KI,114,319,99,214,0,1
AUB 31-0078,KI,112,404,80,193,0,1
ALDARRA,KI,221,711,209,434,0,4
SEA 46-2338,KI,168,543,90,260,0,2
BIG BEND,KI,60,216,63,124,0,1
AUB 31-0070,KI,197,655,68,267,0,2
KIR 45-2786,KI,138,351,97,236,0,1
SEA 46-2290,KI,95,289,100,195,0,0
WOD 45-3530,KI,237,692,124,364,0,3
SEA 46-2291,KI,129,387,74,204,0,1
BEL 48-2778,KI,92,243,56,148,0,0
BETTY,KI,181,775,80,263,0,2
BEL 48-2773,KI,87,287,55,142,0,0
BEL 48-2772,KI,126,345,77,205,0,2
SEA 46-2295,KI,169,481,139,310,0,2
BEL 48-2777,KI,64,229,25,89,0,0
BEL 48-2776,KI,169,495,102,274,0,3
BEL 48-2775,KI,150,478,109,264,0,5
BEL 48-2774,KI,116,434,68,186,0,2
SEA 36-3153,KI,123,390,64,187,0,0
MERLIN,KI,111,411,53,170,0,6
