Row Label,County,Linda Lau,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
ISS 41-3554,KI,159,416,121,281,0,1
KEN 33-3232,KI,122,502,82,204,0,0
SEA 46-1968,KI,92,297,84,177,0,1
SEA 36-1391,KI,120,439,139,262,0,3
SEA 36-1390,KI,99,290,92,191,0,0
SEA 36-1393,KI,110,297,99,209,0,0
SEA 36-1392,KI,128,411,126,255,0,1
SEA 36-1395,KI,133,444,138,276,0,5
SEA 36-1394,KI,154,559,179,336,0,3
SEA 36-1397,KI,100,357,131,233,0,2
SEA 36-1396,KI,80,282,83,166,0,3
SEA 36-1399,KI,117,296,88,205,0,0
SEA 36-1398,KI,142,503,122,265,0,1
COV 47-2843,KI,218,792,173,395,0,4
BILOXI,KI,152,430,133,287,0,2
SHL 32-1209,KI,151,478,109,262,0,2
SEA 46-3687,KI,68,220,74,143,0,1
KIR 48-2731,KI,131,483,100,233,0,2
SEA 36-1403,KI,104,497,125,234,0,5
SEA 36-1402,KI,104,381,102,206,0,0
KEN 47-0835,KI,160,645,115,276,0,1
M-V 05-3368,KI,179,748,168,350,0,3
SEA 34-3637,KI,188,567,119,309,0,2
FED 30-3236,KI,222,746,124,351,0,5
FED 30-3237,KI,216,745,155,376,0,5
FED 30-3234,KI,105,382,57,163,0,1
FED 30-3235,KI,103,400,66,172,0,3
FED 30-3238,KI,100,359,45,148,0,3
SEA 37-1936,KI,116,296,106,222,0,0
BEL 48-2559,KI,155,431,102,259,0,2
SEA 37-1934,KI,240,784,223,472,0,9
AUB 30-0067,KI,109,430,54,164,0,1
WINTERGREEN,KI,91,279,70,161,0,0
TROUT LAKE,KI,220,719,127,352,0,5
SEA 34-1502,KI,96,342,123,223,0,4
ISS 05-0550,KI,90,300,77,172,0,5
SHL 32-0423,KI,115,389,108,224,0,1
SHL 32-0920,KI,92,314,95,188,0,1
SEA 37-1638,KI,84,505,77,162,0,1
SHL 32-0424,KI,111,318,79,192,0,2
SEA 37-1635,KI,118,524,78,199,0,3
SEA 37-1634,KI,100,473,89,191,0,2
SEA 37-1637,KI,193,760,99,295,0,3
