Row Label,County,Yes,No
29-620(*),PI,0,0
27-448,PI,4,17
27-449,PI,147,333
27-444,PI,127,310
27-445,PI,116,304
27-446,PI,105,309
27-447,PI,126,311
27-440,PI,187,284
27-441,PI,119,286
27-442,PI,90,246
27-443,PI,110,263
27-428,PI,185,274
27-429,PI,220,285
27-426,PI,185,334
27-427,PI,225,296
27-424,PI,210,351
27-425,PI,205,325
27-422,PI,282,419
27-423,PI,265,362
27-420,PI,288,358
27-421,PI,190,284
28-506,PI,181,418
28-507,PI,156,325
28-504,PI,196,387
28-505,PI,227,468
28-502,PI,173,440
28-503,PI,188,386
28-501,PI,190,445
28-508,PI,106,153
28-509,PI,0,0
27-459,PI,70,207
27-458,PI,91,210
27-453,PI,122,173
27-452,PI,118,300
27-451,PI,101,285
27-450,PI,139,354
27-457,PI,126,265
27-456,PI,100,235
27-455,PI,115,275
27-454,PI,138,336
27-439,PI,164,297
27-438,PI,161,277
27-435,PI,171,350
27-434,PI,146,324
27-437,PI,146,292
27-436,PI,181,315
27-431,PI,60,148
27-430,PI,205,280
27-433,PI,144,370
27-432,PI,121,379
29-626,PI,5,6
29-627,PI,0,0
29-624,PI,0,0
29-625,PI,5,2
29-622,PI,93,209
29-623,PI,28,55
27-408,PI,170,410
27-409,PI,168,370
27-404,PI,100,82
27-405,PI,196,391
27-406,PI,216,541
27-407,PI,161,384
29-601,PI,111,254
29-602,PI,82,237
29-603,PI,115,268
29-604,PI,108,282
29-605,PI,95,240
29-606,PI,104,348
29-607,PI,140,348
29-608,PI,102,265
29-609,PI,74,222
29-619,PI,84,300
29-618,PI,96,232
29-617,PI,120,283
29-616,PI,127,281
29-615,PI,126,348
29-614,PI,139,337
29-613,PI,128,323
29-612,PI,69,153
29-611,PI,24,74
29-610,PI,128,256
27-417,PI,240,381
27-416,PI,186,406
27-415,PI,193,437
27-414,PI,247,355
27-413,PI,180,367
27-412,PI,137,367
27-411,PI,259,478
27-410,PI,192,380
27-419,PI,211,363
27-418,PI,196,347
29-621(*),PI,0,0
27-462,PI,181,375
27-463,PI,127,286
27-460,PI,197,347
27-461,PI,206,410
27-466,PI,128,305
27-467,PI,122,335
27-464,PI,166,292
27-465,PI,159,261
27-468,PI,114,300
Total,PI,14044,29100
