Row Label,County,Lisa L. Sutton
BELFAIR,MA,330
MILL CREEK,MA,437
HARSTINE,MA,489
DAYTON,MA,284
DOWNTOWN,MA,312
AIRPORT,MA,448
MATLOCK,MA,320
AGATE,MA,345
JOHN&#39;S PRAIRIE,MA,293
OLYMPIC VIEW,MA,448
ISABELLA,MA,227
CUSHMAN,MA,462
MASON LAKE,MA,315
SAND HILL,MA,432
KAMILCHE POINT,MA,207
HILLCREST,MA,275
EELLS,MA,121
BORDEAUX,MA,62
ANGLESIDE,MA,382
ARCADIA,MA,402
HOOD CANAL,MA,398
UNION,MA,571
LIMERICK,MA,514
FAWN LAKE,MA,441
TIGER LAKE,MA,214
PICKERING,MA,353
CALLANAN,MA,10
KAMILCHE,MA,162
VICTOR,MA,263
TWANOH,MA,245
OAKLAND BAY,MA,291
TAHUYA,MA,379
ALLYN,MA,647
DEWATTO,MA,409
TIMBERLAKE,MA,478
GRAPEVIEW,MA,471
FAIR HARBOR,MA,277
TRAIL&#39;S END,MA,410
SKOKOMISH,MA,90
Total,MA,13214
