Row Label,County,Debra L. Stephens,John (Zamboni) Scannell
Yellowhawk 58,WL,28,5
CP 3 63,WL,295,96
Touchet 5 56(*),WL,0,0
Spruce 24,WL,139,42
Birch 05,WL,172,48
Baumeister 04,WL,259,72
Jefferson 13,WL,369,79
Ice Harbor 34,WL,246,112
Alder 02,WL,106,40
Waitsburg 65,WL,285,86
Lincoln 49,WL,44,10
CP 1 61,WL,317,89
Watertown 29,WL,156,44
Frenchtown 4 45,WL,30,9
Ritz 53,WL,357,83
CP 2 62,WL,220,87
Frenchtown 5 44,WL,117,40
Alderbrook 01,WL,144,53
Baker 33,WL,56,16
Edison 08,WL,165,56
Pine 21,WL,114,43
Mill Creek 50,WL,153,39
Sharpstein 23,WL,158,54
Gose 47,WL,58,20
CP 5 67,WL,259,70
Henderson 11,WL,163,56
Burbank 38,WL,293,133
Garfield 09,WL,181,81
Washington 60,WL,84,37
Garrison 46,WL,143,51
Berney 35,WL,165,54
Isaacs 12,WL,131,47
Paine 20,WL,88,35
Pleasant 22,WL,315,118
Wallula 59,WL,25,8
Monroe 18,WL,400,108
Ash 03,WL,248,95
Dixie 41,WL,149,62
Touchet 4 55,WL,199,71
CP 6 68,WL,42,17
Eureka 4 43(*),WL,0,0
Blalock 36,WL,301,85
Stadium 25,WL,153,54
Clyde 39,WL,17,5
CP 4 66,WL,350,110
Pros Point 52,WL,573,142
Wainwright 28,WL,287,81
Moore 51,WL,149,31
Eureka 5 42,WL,28,17
Derry 40,WL,97,34
College 07,WL,193,38
Prescott 64,WL,50,24
Green Park 10,WL,141,31
Twin Grove 57,WL,159,41
Tausick 26,WL,161,53
Marcus 17,WL,427,99
Braden 37,WL,296,79
McNary 54,WL,164,45
Maple 16,WL,339,116
Total,WL,11090,3421
Abbott 31,WL,213,39
Clark 06,WL,116,29
