Row Label,County,Maintained,Registered Voters,Repealed,Times Blank Voted,Times Counted,Times Over Voted
ISS 41-3554,KI,150,416,103,28,281,0
KEN 33-3232,KI,95,502,91,18,204,0
SEA 46-1968,KI,144,297,26,7,177,0
SEA 36-1391,KI,183,439,56,23,262,0
SEA 36-1390,KI,129,290,34,28,191,0
SEA 36-1393,KI,157,297,32,20,209,0
SEA 36-1392,KI,185,411,50,20,255,0
SEA 36-1395,KI,200,444,50,26,276,0
SEA 36-1394,KI,224,559,70,42,336,0
SEA 36-1397,KI,169,357,42,22,233,0
SEA 36-1396,KI,114,282,30,22,166,0
SEA 36-1399,KI,145,296,39,21,205,0
SEA 36-1398,KI,178,503,56,31,265,0
COV 47-2843,KI,194,792,171,30,395,0
BILOXI,KI,186,430,64,37,287,0
SHL 32-1209,KI,154,478,79,29,262,0
SEA 46-3687,KI,89,220,36,18,143,0
KIR 48-2731,KI,122,483,78,33,233,0
SEA 36-1403,KI,147,497,51,36,234,0
SEA 36-1402,KI,143,381,37,26,206,0
KEN 47-0835,KI,135,645,115,26,276,0
M-V 05-3368,KI,194,748,129,27,350,0
SEA 34-3637,KI,179,567,95,35,309,0
FED 30-3236,KI,180,746,126,45,351,0
FED 30-3237,KI,191,745,147,38,376,0
FED 30-3234,KI,67,382,80,16,163,0
FED 30-3235,KI,71,400,88,13,172,0
FED 30-3238,KI,68,359,72,8,148,0
SEA 37-1936,KI,163,296,38,21,222,0
BEL 48-2559,KI,144,431,92,23,259,0
SEA 37-1934,KI,315,784,101,56,472,0
AUB 30-0067,KI,74,430,74,16,164,0
WINTERGREEN,KI,97,279,50,14,161,0
TROUT LAKE,KI,168,719,166,18,352,0
SEA 34-1502,KI,144,342,56,23,223,0
ISS 05-0550,KI,98,300,57,17,172,0
SHL 32-0423,KI,133,389,67,24,224,0
SHL 32-0920,KI,108,314,67,13,188,0
SEA 37-1638,KI,91,505,48,23,162,0
SHL 32-0424,KI,114,318,60,18,192,0
SEA 37-1635,KI,102,524,80,17,199,0
SEA 37-1634,KI,108,473,62,21,191,0
SEA 37-1637,KI,178,760,97,20,295,0
SEA 37-1636,KI,112,586,87,18,217,0
SEA 37-1631,KI,115,301,50,22,187,0
GRAFF,KI,40,105,15,9,64,0
SEA 37-1633,KI,95,329,47,21,163,0
SEA 37-1632,KI,125,292,26,22,173,0
SEA 36-1715,KI,114,355,39,19,172,0
SEA 36-1714,KI,210,526,70,41,321,0
SEA 36-1717,KI,76,251,35,23,134,0
SEA 36-1716,KI,125,357,25,27,177,0
SEA 36-1711,KI,248,760,87,44,379,0
SEA 36-1710,KI,109,351,25,23,157,0
SEA 36-1713,KI,110,362,39,27,176,0
SEA 36-1712,KI,181,463,58,30,269,0
KMR 46-1181,KI,87,295,56,26,169,0
SEA 36-1719,KI,188,510,70,41,299,0
SEA 36-1718,KI,104,318,34,17,155,0
TUK 11-2949,KI,95,585,112,18,225,0
AUB 47-0059,KI,183,678,159,23,365,0
RNT 11-2815,KI,108,677,77,29,215,1
KIR 45-2679,KI,222,614,121,36,379,0
AUB 47-0055,KI,71,391,74,11,156,0
SEA 11-1928,KI,106,298,33,6,145,0
SEA 43-2850,KI,126,359,29,27,182,0
SHL 32-0527,KI,146,626,93,35,274,0
KIR 45-2471,KI,268,720,146,39,453,0
KEN 47-0498,KI,36,231,50,8,94,0
SHL 32-0335,KI,103,414,69,23,195,0
PTARMIGAN,KI,93,344,88,14,195,0
SPRING LAKE,KI,209,745,171,51,431,0
SEA 36-2170,KI,194,450,58,33,285,0
SEA 36-2171,KI,229,491,62,38,329,0
SEA 36-2172,KI,146,319,39,29,214,0
AUB 31-0078,KI,86,404,82,25,193,0
ALDARRA,KI,227,711,161,46,434,0
SEA 46-2338,KI,170,543,66,24,260,0
BIG BEND,KI,73,216,35,16,124,0
AUB 31-0070,KI,131,655,114,22,267,0
KIR 45-2786,KI,165,351,47,24,236,0
SEA 46-2290,KI,134,289,33,28,195,0
WOD 45-3530,KI,209,692,118,37,364,0
SEA 46-2291,KI,141,387,39,24,204,0
BEL 48-2778,KI,105,243,31,12,148,0
BETTY,KI,112,775,131,20,263,0
BEL 48-2773,KI,87,287,46,9,142,0
BEL 48-2772,KI,119,345,61,24,205,1
SEA 46-2295,KI,212,481,63,35,310,0
BEL 48-2777,KI,49,229,36,4,89,0
BEL 48-2776,KI,147,495,94,33,274,0
BEL 48-2775,KI,154,478,79,31,264,0
BEL 48-2774,KI,95,434,68,23,186,0
SEA 36-3153,KI,123,390,44,20,187,0
MERLIN,KI,76,411,79,15,170,0
SEA 37-1918,KI,138,347,49,25,212,0
SEA 37-1919,KI,141,378,40,26,207,0
SEA 37-1914,KI,276,523,46,42,364,0
RNT 11-3563,KI,138,625,104,35,277,0
SEA 37-1916,KI,199,357,38,24,261,0
SEA 37-1917,KI,228,454,60,23,311,0
SEA 37-1910,KI,235,513,61,33,329,0
SEA 37-1911,KI,122,284,46,23,191,0
RNT 11-3564,KI,129,491,80,37,246,0
SEA 37-1913,KI,175,338,35,29,239,0
BUR 34-0033,KI,144,682,134,31,309,0
M-I 41-0755,KI,95,265,59,18,172,0
LAKE MORTON,KI,71,232,66,14,151,0
ISS 05-3634,KI,118,422,51,21,190,0
RNT 11-2583,KI,186,838,139,43,368,0
RNT 11-2582,KI,132,795,115,23,270,0
HOLLYWOOD,KI,214,538,102,43,359,0
SEA 43-1339,KI,138,298,20,29,187,0
M-V 05-3510,KI,116,381,81,16,213,0
BEL 41-3593,KI,95,534,67,20,182,0
SEA 43-1338,KI,231,449,39,32,302,0
SEA 34-3632,KI,57,271,32,10,99,0
KEN 11-0893,KI,97,580,96,16,209,0
BEL 41-3608,KI,210,714,94,45,349,0
SAM 41-2690,KI,145,526,82,44,271,0
RNT 11-0988,KI,80,437,83,9,172,0
RNT 11-0985,KI,81,325,66,20,167,0
RNT 11-0984,KI,62,279,63,15,140,0
RNT 11-0986,KI,179,719,135,35,349,0
