Row Label,County,Debra L. Stephens,John (Zamboni) Scannell
210,CH,211,64
1149,CH,28,3
133,CH,177,88
132,CH,15,11
131,CH,28,17
135,CH,304,83
134,CH,293,103
490,CH,502,158
540,CH,291,82
163,CH,17,5
1150,CH,2,4
710,CH,217,64
120,CH,158,53
121,CH,134,62
122,CH,82,34
123,CH,16,7
124,CH,39,9
125,CH,336,103
126,CH,46,13
127,CH,68,26
128,CH,30,9
129,CH,145,30
410,CH,268,64
530,CH,370,102
590,CH,336,81
310,CH,134,51
190,CH,31,7
115,CH,21,8
114,CH,214,73
116,CH,90,24
111,CH,49,22
110,CH,174,64
113,CH,34,16
112,CH,7,10
100(*),CH,0,0
520,CH,499,126
420,CH,291,76
580,CH,220,66
440,CH,413,103
143(*),CH,0,0
510,CH,185,68
430,CH,376,84
450,CH,331,134
330,CH,195,58
136(*),CH,0,0
175,CH,385,116
174,CH,200,67
173,CH,16,3
172,CH,10,3
171,CH,6,4
730,CH,305,145
182,CH,238,77
183,CH,121,46
181,CH,260,78
151(*),CH,0,0
1151(*),CH,0,0
560,CH,301,119
460,CH,298,116
164,CH,113,48
165,CH,73,32
161,CH,17,7
162,CH,20,9
220,CH,243,85
720,CH,321,85
150,CH,36,11
153,CH,433,119
152,CH,3,2
155,CH,116,52
154,CH,367,108
157,CH,289,109
156,CH,36,13
159,CH,5,2
158,CH,151,42
320,CH,194,46
141(*),CH,0,0
146,CH,57,19
147,CH,274,102
144,CH,15,5
145,CH,15,5
142,CH,29,4
140,CH,88,34
610,CH,211,70
148,CH,127,51
149,CH,140,61
480,CH,342,138
Total,CH,13264,4301
