Row Label,County,Approved,Registered Voters,Rejected,Times Blank Voted,Times Counted,Times Over Voted
BUR 34-0377,KI,164,607,117,12,293,0
DES 33-2455,KI,107,579,48,20,175,0
BUR 34-0465,KI,87,228,38,7,132,0
BUR 34-1047,KI,217,744,111,27,355,0
DES 33-0016,KI,87,281,87,6,180,0
SET 33-1031,KI,104,523,103,11,218,0
DES 33-0362,KI,111,554,77,21,209,0
SET 33-3618,KI,63,325,53,9,125,0
SET 33-3081,KI,154,738,99,16,269,0
BUR 33-0701,KI,187,722,84,20,291,0
BUR 33-0705,KI,179,701,57,24,260,0
DES 33-1071,KI,93,390,79,9,181,0
BUR 34-0344,KI,158,420,118,25,301,0
BUR 34-1058,KI,160,493,131,24,315,0
BUR 34-1059,KI,172,614,129,20,321,0
BUR 34-1057,KI,244,660,155,24,423,0
BUR 34-0699,KI,276,823,185,28,489,0
BUR 34-1116,KI,123,387,54,15,192,0
DES 33-0532,KI,84,271,59,5,148,0
BUR 33-0289,KI,98,412,83,7,188,0
TUK 11-2949,KI,0,0,0,0,0,0
BERNICE,KI,153,601,74,13,240,0
BUR 34-1219,KI,182,530,141,22,345,0
SET 33-3069,KI,86,353,71,12,169,0
SET 33-3068,KI,113,462,94,21,228,0
DES 33-3131,KI,43,266,69,7,119,0
SET 33-3066,KI,96,491,72,11,179,0
SET 33-3065,KI,105,464,30,11,146,0
SET 33-3064,KI,96,468,59,12,167,0
SET 33-3063,KI,99,330,62,12,173,0
SET 33-3062,KI,88,316,62,5,155,0
SET 33-3061,KI,81,340,73,12,166,0
FRAGER,KI,0,0,0,0,0,0
BUR 34-1104,KI,94,325,78,14,186,0
DES 33-1128,KI,73,289,94,7,174,0
BUR 33-0805,KI,175,538,62,18,255,0
BUR 33-0729,KI,188,864,99,33,320,0
BUR 34-0900,KI,113,391,64,17,194,0
BUR 33-1189,KI,142,639,122,19,283,0
SET 33-3101,KI,134,366,75,19,228,0
BUR 34-0295,KI,151,479,105,13,269,0
GLENDALE,KI,173,764,104,12,289,0
BUR 34-0298,KI,195,668,108,19,322,0
BUR 34-1192,KI,216,591,165,16,397,0
NPK 33-0857,KI,244,684,217,22,483,0
