Row Label,County,Nathan Schlicher,Jesse Young
PORT ORCHARD 202,KP,245,291
NAVY YARD CITY 095,KP,228,208
PORT ORCHARD 200,KP,113,120
PORT ORCHARD 201,KP,228,198
PORT ORCHARD 207,KP,199,242
PORT ORCHARD 204,KP,215,202
PORT ORCHARD 203,KP,116,130
CONIFER 271,KP,125,142
YUKON 241,KP,191,205
LOCKER 246,KP,290,374
WILSON CREEK 242,KP,210,244
LIGHTHOUSE POINT 292,KP,256,288
MANCHESTER 255,KP,220,201
LUNDBERG 250,KP,235,264
BRASCH 213,KP,204,310
EBBERT 247,KP,232,310
BREMERTON 015,KP,244,210
BREMERTON 016,KP,69,37
WATERMAN 295,KP,162,178
CEDAR 211,KP,212,239
OVERLOOK 267,KP,251,154
PORT ORCHARD 205,KP,425,576
BREMERTON 051,KP,20,25
EVERGREEN 257,KP,328,371
PARKWOOD 270,KP,284,275
SPRING CREEK 217,KP,158,216
CRESCENT VALLEY 266,KP,245,287
WHISPERING PINES 227,KP,190,332
FRAGARIA 259,KP,223,259
SEDGWICK 272,KP,236,313
BANDIX 263,KP,225,368
PORT ORCHARD 210,KP,136,182
BREMERTON 296,KP,0,0
HARPER 240,KP,268,201
WILLOCK 258,KP,184,263
GLENWOOD 232,KP,214,432
MULLENIX 260,KP,243,331
OLALLA 265,KP,186,223
BERRY LAKE 279,KP,142,188
CONVERSE 252,KP,194,241
BREMERTON 006,KP,171,95
BREMERTON 005,KP,180,102
WOODRIDGE 222,KP,104,191
BREMERTON 003,KP,233,173
BREMERTON 002,KP,119,82
BREMERTON 001,KP,157,89
SHERMAN HEIGHTS 278,KP,10,7
MADRONA 269,KP,179,177
BREMERTON 022,KP,188,133
NEBRASKA 223,KP,195,263
BURLEY 218,KP,251,312
ANNAPOLIS 212,KP,314,336
LONG LAKE 245,KP,154,202
MARION 090,KP,46,37
ALASKA 221,KP,326,301
Total,KP,10773,12130
