Row Label,County,Karen Herr
BELFAIR,MA,362
MILL CREEK,MA,518
HARSTINE,MA,557
DAYTON,MA,320
DOWNTOWN,MA,339
AIRPORT,MA,532
MATLOCK,MA,364
AGATE,MA,400
JOHN&#39;S PRAIRIE,MA,311
OLYMPIC VIEW,MA,504
ISABELLA,MA,239
CUSHMAN,MA,490
MASON LAKE,MA,348
SAND HILL,MA,448
KAMILCHE POINT,MA,227
HILLCREST,MA,299
EELLS,MA,139
BORDEAUX,MA,70
ANGLESIDE,MA,430
ARCADIA,MA,477
HOOD CANAL,MA,450
UNION,MA,637
LIMERICK,MA,583
FAWN LAKE,MA,498
TIGER LAKE,MA,220
PICKERING,MA,389
CALLANAN,MA,12
KAMILCHE,MA,179
VICTOR,MA,273
TWANOH,MA,274
OAKLAND BAY,MA,324
TAHUYA,MA,408
ALLYN,MA,706
DEWATTO,MA,443
TIMBERLAKE,MA,495
GRAPEVIEW,MA,495
FAIR HARBOR,MA,296
TRAIL&#39;S END,MA,427
SKOKOMISH,MA,95
Total,MA,14578
