Row Label,County,Douglas J. Shae
210,CH,208
1149,CH,25
133,CH,222
132,CH,24
131,CH,37
136,CH,4
135,CH,337
134,CH,345
490,CH,561
540,CH,324
163,CH,18
1151,CH,2
1150,CH,6
710,CH,230
120,CH,180
121,CH,174
122,CH,100
123,CH,24
124,CH,39
125,CH,345
126,CH,46
127,CH,73
128,CH,41
129,CH,127
410,CH,287
530,CH,413
590,CH,327
310,CH,135
190,CH,26
115,CH,23
114,CH,236
116,CH,86
111,CH,57
110,CH,185
113,CH,34
112,CH,17
520,CH,545
420,CH,310
580,CH,256
440,CH,451
100,CH,6
510,CH,207
430,CH,413
450,CH,375
330,CH,228
175,CH,396
174,CH,233
173,CH,13
172,CH,12
171,CH,8
730,CH,362
182,CH,251
183,CH,143
181,CH,298
560,CH,361
460,CH,355
164,CH,118
165,CH,82
161,CH,25
162,CH,21
220,CH,247
720,CH,320
151,CH,3
150,CH,36
153,CH,484
152,CH,3
155,CH,151
154,CH,418
157,CH,336
156,CH,42
159,CH,7
158,CH,159
320,CH,213
146,CH,69
147,CH,336
144,CH,19
145,CH,18
142,CH,29
143,CH,2
140,CH,104
141,CH,7
610,CH,238
148,CH,144
149,CH,168
480,CH,380
Total,CH,14720
