Row Label,County,Levy Yes,Levy No
ARLINGTON  3,SN,160,86
JORDAN BRIDGE,SN,43,45
TRAFTON,SN,81,159
ARLINGTON  9(*),SN,0,0
SILVANA,SN,97,128
MC FARLAND,SN,168,204
HUCKLEBERRY,SN,73,104
EDGECOMB,SN,120,160
ARMSTRONG,SN,116,135
TRONSON,SN,100,116
BRYANT,SN,47,78
OSO,SN,90,119
KACKMAN,SN,117,110
ARLINGTON  4,SN,259,189
ARNOT,SN,107,156
ARLINGTON  6,SN,170,149
ARLINGTON  7,SN,203,187
ARLINGTON  1,SN,164,131
ARLINGTON  2,SN,119,112
PILOT,SN,113,227
STILLAGUAMISH,SN,60,66
BURN HILL,SN,151,187
ARLINGTON 18,SN,0,0
ARLINGTON 17,SN,2,5
PORTAGE,SN,56,92
ARLINGTON 14,SN,126,108
ARLINGTON 13,SN,206,195
ARLINGTON 12,SN,137,93
ARLINGTON 11,SN,93,69
HEIGHTS,SN,119,196
JIM CREEK,SN,175,245
SISCO,SN,175,184
ARLINGTON  5,SN,223,178
ARLINGTON  8(*),SN,0,0
NORTH FORK,SN,73,113
ARLINGTON 16,SN,135,85
BOULDER,SN,189,237
HAPPY VALLEY,SN,99,113
MARYSVILLE 33,SN,2,2
HENNING,SN,193,229
Total,SN,4727,5131
