Row Label,County,Yes,No
JANIS,OK,26,12
BONAPARTE,OK,29,6
WHISKY MTN(*),OK,0,0
SPECTACLE LAKE,OK,44,8
LONGANECKER,OK,31,10
ANTOINE PEAK,OK,19,14
SIWASH CREEK,OK,47,11
RANCHES,OK,23,7
TONASKET #5,OK,32,13
TONASKET #4,OK,36,14
FRONTAGE,OK,16,6
LEESE,OK,18,8
TONASKET #1,OK,23,9
TONASKET #3,OK,18,7
PALMER LAKE,OK,39,17
RIVERSIDE RURAL(*),OK,0,0
TORODA,OK,42,28
ANGLIN,OK,46,21
TONASKET RURAL,OK,37,3
WHITESTONE,OK,33,11
CHEWILIKEN,OK,13,17
HAVILLAH,OK,64,19
AENEAS,OK,34,9
YARNELL,OK,25,11
AENEAS CREEK,OK,34,24
PINE CONE,OK,22,13
TONASKET #7,OK,33,19
TONASKET #6,OK,24,6
GUSTY RIDGE,OK,40,7
ANTOINE CREEK,OK,33,10
ELLISFORDE,OK,53,22
CAYUSE MTN,OK,26,8
SOURDOUGH,OK,50,25
HIGHWAY,OK,24,5
DUFFYS MTN,OK,23,6
LOOMIS,OK,43,26
BEEMAN,OK,60,21
WAUCONDA,OK,16,13
PINE CREEK(*),OK,0,0
AENEAS LAKE,OK,57,21
CAPE LABELLE,OK,30,9
TONASKET #2,OK,38,6
PICKENS MTN,OK,36,12
CRUMBACHER,OK,46,23
NORTH TONASKET,OK,77,13
Total,OK,1555,603
SAN POIL,OK,61,32
