Row Label,County,Ginger Brooks
BELFAIR,MA,348
MILL CREEK,MA,507
HARSTINE,MA,553
DAYTON,MA,322
DOWNTOWN,MA,333
AIRPORT,MA,532
MATLOCK,MA,350
AGATE,MA,389
JOHN&#39;S PRAIRIE,MA,308
OLYMPIC VIEW,MA,502
ISABELLA,MA,241
CUSHMAN,MA,488
MASON LAKE,MA,342
SAND HILL,MA,433
KAMILCHE POINT,MA,222
HILLCREST,MA,292
EELLS,MA,137
BORDEAUX,MA,68
ANGLESIDE,MA,417
ARCADIA,MA,470
HOOD CANAL,MA,447
UNION,MA,616
LIMERICK,MA,568
FAWN LAKE,MA,497
TIGER LAKE,MA,216
PICKERING,MA,383
CALLANAN,MA,12
KAMILCHE,MA,170
VICTOR,MA,267
TWANOH,MA,267
OAKLAND BAY,MA,319
TAHUYA,MA,396
ALLYN,MA,687
DEWATTO,MA,436
TIMBERLAKE,MA,490
GRAPEVIEW,MA,492
FAIR HARBOR,MA,295
TRAIL&#39;S END,MA,418
SKOKOMISH,MA,95
Total,MA,14325
