Row Label,County,Nancy Anne Harmon
210,CH,198
1149,CH,29
133,CH,192
132,CH,20
131,CH,32
136,CH,4
135,CH,307
134,CH,308
490,CH,512
540,CH,299
163,CH,16
1151,CH,2
1150,CH,6
710,CH,221
120,CH,154
121,CH,151
122,CH,83
123,CH,22
124,CH,35
125,CH,303
126,CH,44
127,CH,66
128,CH,32
129,CH,119
410,CH,247
530,CH,378
590,CH,304
310,CH,124
190,CH,22
115,CH,17
114,CH,213
116,CH,76
111,CH,53
110,CH,159
113,CH,37
112,CH,15
520,CH,489
420,CH,292
580,CH,233
440,CH,415
100,CH,6
510,CH,203
430,CH,358
450,CH,348
330,CH,211
175,CH,363
174,CH,209
173,CH,10
172,CH,11
171,CH,7
730,CH,354
182,CH,226
183,CH,126
181,CH,269
560,CH,339
460,CH,348
164,CH,108
165,CH,74
161,CH,22
162,CH,21
220,CH,236
720,CH,297
151,CH,3
150,CH,27
153,CH,432
152,CH,4
155,CH,137
154,CH,371
157,CH,291
156,CH,34
159,CH,5
158,CH,156
320,CH,183
146,CH,56
147,CH,294
144,CH,17
145,CH,17
142,CH,26
143,CH,4
140,CH,102
141,CH,7
610,CH,223
148,CH,134
149,CH,151
480,CH,353
Total,CH,13402
