Row Label,County,Approved,Rejected
TUNK CREEK,OK,53,38
FLETCHER,OK,33,26
GREENACRES,OK,13,25
OMAK #21,OK,19,13
OMAK #20,OK,31,25
OMAK #23,OK,14,11
OMAK #22,OK,28,19
OMAK #24,OK,26,10
ELMWAY,OK,18,23
WEST RIVER,OK,13,26
NICHOLS,OK,17,9
OMAK RIVER,OK,31,25
RIVERSIDE CITY,OK,32,34
LIME BELT,OK,10,23
ALMA,OK,25,24
SUNSET LAKES,OK,11,10
OMAK #6,OK,25,25
OMAK #7,OK,26,20
OMAK #4,OK,25,12
OMAK #5,OK,34,22
OMAK #2,OK,31,22
GLOVER,OK,31,35
FIKER,OK,24,25
OMAK #1,OK,16,18
OMAK #8,OK,21,4
OMAK #9,OK,49,27
CANAL,OK,16,28
OKANOGAN #3,OK,13,13
OKANOGAN #1,OK,24,12
OKANOGAN #6,OK,33,23
OKANOGAN #7,OK,15,10
OKANOGAN #4,OK,29,23
OKANOGAN #5,OK,43,13
ROSS CANYON,OK,40,14
OKANOGAN #9,OK,29,23
NORTH OMAK,OK,17,16
OMAK MTN,OK,15,12
OMAK #3,OK,14,7
OMAK #13,OK,22,17
POGUE,OK,55,29
ENGH,OK,45,26
OKANOGAN #2,OK,26,27
RIVERSIDE RURAL,OK,56,45
SPRING COULEE,OK,39,31
DULEY LAKE,OK,14,5
OKANOGAN RURAL,OK,27,20
COPPLE,OK,34,33
MISSION,OK,28,8
OKANOGAN #8,OK,29,15
CONCONULLY CITY,OK,58,30
ORCHARD,OK,31,17
OMAK LAKE,OK,24,17
COLEMAN BUTTE,OK,24,29
JOHNSON CREEK,OK,30,28
OMAK #18,OK,19,13
OMAK #19,OK,22,18
ASTON,OK,22,14
OMAK #10,OK,29,22
OMAK #11,OK,47,27
OMAK #12,OK,35,22
LONE PINE,OK,27,5
OMAK #14,OK,21,12
OMAK #15,OK,37,35
OMAK #16,OK,29,15
OMAK #17,OK,49,26
DIXON,OK,28,33
BOSTON,OK,51,31
CHEROKEE,OK,41,23
HENDRICK,OK,46,30
OKANOGAN #10,OK,43,23
OKANOGAN #11,OK,33,19
OKANOGAN #12,OK,19,17
OKANOGAN #13,OK,16,15
KERMEL,OK,25,29
SAND FLAT,OK,38,34
MALOTT,OK,47,41
DISAUTEL,OK,15,7
CHILIWIST,OK,34,22
FLATS,OK,29,16
NORTH MALOTT,OK,37,43
DUCK LAKE,OK,18,18
EASTSIDE,OK,63,34
HUDSON,OK,16,15
CONCONULLY RURAL,OK,21,24
Total,OK,2480,1828
MOCK,OK,37,23
