Row Label,County,Debra L. Stephens,John (Zamboni) Scannell
BELFAIR,MA,272,113
MILL CREEK,MA,372,147
HARSTINE,MA,474,143
DAYTON,MA,245,108
DOWNTOWN,MA,240,119
AIRPORT,MA,350,174
MATLOCK,MA,262,151
AGATE,MA,296,140
JOHN&#39;S PRAIRIE,MA,230,119
OLYMPIC VIEW,MA,358,153
ISABELLA,MA,185,95
CUSHMAN,MA,381,157
MASON LAKE,MA,264,103
SAND HILL,MA,319,183
KAMILCHE POINT,MA,169,67
HILLCREST,MA,206,105
EELLS,MA,117,45
BORDEAUX,MA,44,25
ANGLESIDE,MA,291,151
ARCADIA,MA,391,143
HOOD CANAL,MA,364,158
UNION,MA,512,184
LIMERICK,MA,431,174
FAWN LAKE,MA,356,163
TIGER LAKE,MA,161,105
PICKERING,MA,309,119
CALLANAN,MA,5,11
KAMILCHE,MA,137,61
VICTOR,MA,235,105
TWANOH,MA,202,85
OAKLAND BAY,MA,238,125
TAHUYA,MA,318,148
ALLYN,MA,585,181
DEWATTO,MA,339,183
TIMBERLAKE,MA,385,182
GRAPEVIEW,MA,418,152
FAIR HARBOR,MA,233,104
TRAIL&#39;S END,MA,330,149
SKOKOMISH,MA,72,23
Total,MA,11096,4853
