Row Label,County,Joshua F. Grant
HARRINGTON IN,LI,111
LONG LAKE,LI,49
S REARDAN RURAL,LI,39
DAVENPORT RURAL,LI,61
IRBY,LI,19
KELLER,LI,47
LAMONA,LI,24
HAWK CREEK,LI,55
EDWALL,LI,52
MOHLER,LI,40
EGYPT,LI,92
WEST LARENE,LI,28
SPRAGUE RURAL,LI,82
WHEATLAND,LI,68
EAST LARENE,LI,71
GRAVELLE,LI,34
GRAND COULEE,LI,24
REARDAN IN,LI,159
PEACH,LI,102
ALMIRA RURAL,LI,26
N REARDAN RURAL,LI,32
HARR RURAL,LI,43
GOVAN,LI,17
LAKEVIEW,LI,90
ODESSA IN,LI,282
SPRAGUE IN,LI,95
RIVERVIEW,LI,116
ENOS,LI,8
LAYTON,LI,17
CANBY,LI,30
EARL,LI,29
WILBUR RURAL,LI,77
WAUKON,LI,36
WILBUR IN,LI,308
DOWNS,LI,19
SHERMAN,LI,61
MONDOVI,LI,63
ALMIRA IN,LI,85
SPRING CREEK,LI,62
SEVEN BAYS,LI,43
CRESTON RURAL,LI,41
CRESTON IN,LI,78
ODESSA RURAL,LI,72
WILSON CREEK,LI,29
Total,LI,3372
DAVENPORT IN,LI,445
BLUESTEM,LI,11
