"Race","CountyCode","Candidate","PrecinctName","PrecinctCode","Votes"
"Legislative District 7 - State Senator","FE","Mike Brunson","Total","-1","134"
"Legislative District 7 - State Senator","FE","Brian Dansel","Total","-1","1016"
"Legislative District 7 - State Senator","FE","John Smith","Total","-1","477"
"Legislative District 7 - State Senator","FE","Mike Brunson","BELCHER","101","5"
"Legislative District 7 - State Senator","FE","Brian Dansel","BELCHER","101","48"
"Legislative District 7 - State Senator","FE","John Smith","BELCHER","101","15"
"Legislative District 7 - State Senator","FE","Mike Brunson","BOYDS","102","8"
"Legislative District 7 - State Senator","FE","Brian Dansel","BOYDS","102","26"
"Legislative District 7 - State Senator","FE","John Smith","BOYDS","102","31"
"Legislative District 7 - State Senator","FE","Mike Brunson","CURLEW","103","0"
"Legislative District 7 - State Senator","FE","Brian Dansel","CURLEW","103","5"
"Legislative District 7 - State Senator","FE","John Smith","CURLEW","103","3"
"Legislative District 7 - State Senator","FE","Mike Brunson","HALL CREEK","104","1"
"Legislative District 7 - State Senator","FE","Brian Dansel","HALL CREEK","104","17"
"Legislative District 7 - State Senator","FE","John Smith","HALL CREEK","104","13"
"Legislative District 7 - State Senator","FE","Mike Brunson","INCHELIUM","105","2"
"Legislative District 7 - State Senator","FE","Brian Dansel","INCHELIUM","105","7"
"Legislative District 7 - State Senator","FE","John Smith","INCHELIUM","105","9"
"Legislative District 7 - State Senator","FE","Mike Brunson","KELLER","106","4"
"Legislative District 7 - State Senator","FE","Brian Dansel","KELLER","106","22"
"Legislative District 7 - State Senator","FE","John Smith","KELLER","106","28"
"Legislative District 7 - State Senator","FE","Mike Brunson","KETTLE RIVER","107","9"
"Legislative District 7 - State Senator","FE","Brian Dansel","KETTLE RIVER","107","61"
"Legislative District 7 - State Senator","FE","John Smith","KETTLE RIVER","107","34"
"Legislative District 7 - State Senator","FE","Mike Brunson","KEWA","108","2"
"Legislative District 7 - State Senator","FE","Brian Dansel","KEWA","108","16"
"Legislative District 7 - State Senator","FE","John Smith","KEWA","108","21"
"Legislative District 7 - State Senator","FE","Mike Brunson","LAMBERT","109","2"
"Legislative District 7 - State Senator","FE","Brian Dansel","LAMBERT","109","23"
"Legislative District 7 - State Senator","FE","John Smith","LAMBERT","109","26"
"Legislative District 7 - State Senator","FE","Mike Brunson","MALO","110","9"
"Legislative District 7 - State Senator","FE","Brian Dansel","MALO","110","50"
"Legislative District 7 - State Senator","FE","John Smith","MALO","110","20"
"Legislative District 7 - State Senator","FE","Mike Brunson","ORIENT","111","16"
"Legislative District 7 - State Senator","FE","Brian Dansel","ORIENT","111","43"
"Legislative District 7 - State Senator","FE","John Smith","ORIENT","111","24"
"Legislative District 7 - State Senator","FE","Mike Brunson","REPUBLIC 1","112","8"
"Legislative District 7 - State Senator","FE","Brian Dansel","REPUBLIC 1","112","112"
"Legislative District 7 - State Senator","FE","John Smith","REPUBLIC 1","112","18"
"Legislative District 7 - State Senator","FE","Mike Brunson","REPUBLIC 2","113","6"
"Legislative District 7 - State Senator","FE","Brian Dansel","REPUBLIC 2","113","87"
"Legislative District 7 - State Senator","FE","John Smith","REPUBLIC 2","113","19"
"Legislative District 7 - State Senator","FE","Mike Brunson","SAN POIL","114","6"
"Legislative District 7 - State Senator","FE","Brian Dansel","SAN POIL","114","129"
"Legislative District 7 - State Senator","FE","John Smith","SAN POIL","114","34"
"Legislative District 7 - State Senator","FE","Mike Brunson","SHERMAN","115","8"
"Legislative District 7 - State Senator","FE","Brian Dansel","SHERMAN","115","60"
"Legislative District 7 - State Senator","FE","John Smith","SHERMAN","115","57"
"Legislative District 7 - State Senator","FE","Mike Brunson","SOUTH LAKE","116","12"
"Legislative District 7 - State Senator","FE","Brian Dansel","SOUTH LAKE","116","66"
"Legislative District 7 - State Senator","FE","John Smith","SOUTH LAKE","116","19"
"Legislative District 7 - State Senator","FE","Mike Brunson","STORM KING","117","8"
"Legislative District 7 - State Senator","FE","Brian Dansel","STORM KING","117","94"
"Legislative District 7 - State Senator","FE","John Smith","STORM KING","117","28"
"Legislative District 7 - State Senator","FE","Mike Brunson","TORODA","118","6"
"Legislative District 7 - State Senator","FE","Brian Dansel","TORODA","118","30"
"Legislative District 7 - State Senator","FE","John Smith","TORODA","118","27"
"Legislative District 7 - State Senator","FE","Mike Brunson","TROUT CREEK","119","22"
"Legislative District 7 - State Senator","FE","Brian Dansel","TROUT CREEK","119","120"
"Legislative District 7 - State Senator","FE","John Smith","TROUT CREEK","119","51"
"Legislative District 7 - State Senator","OK","Mike Brunson","Total","-1","304"
"Legislative District 7 - State Senator","OK","Brian Dansel","Total","-1","526"
"Legislative District 7 - State Senator","OK","John Smith","Total","-1","1889"
"Legislative District 7 - State Senator","OK","Mike Brunson","ANGLIN","2","6"
"Legislative District 7 - State Senator","OK","Brian Dansel","ANGLIN","2","2"
"Legislative District 7 - State Senator","OK","John Smith","ANGLIN","2","26"
"Legislative District 7 - State Senator","OK","Mike Brunson","BEEMAN","3","3"
"Legislative District 7 - State Senator","OK","Brian Dansel","BEEMAN","3","7"
"Legislative District 7 - State Senator","OK","John Smith","BEEMAN","3","21"
"Legislative District 7 - State Senator","OK","Mike Brunson","BODIE(*)","4","0"
"Legislative District 7 - State Senator","OK","Brian Dansel","BODIE(*)","4","0"
"Legislative District 7 - State Senator","OK","John Smith","BODIE(*)","4","0"
"Legislative District 7 - State Senator","OK","Mike Brunson","BONAPARTE","5","1"
"Legislative District 7 - State Senator","OK","Brian Dansel","BONAPARTE","5","4"
"Legislative District 7 - State Senator","OK","John Smith","BONAPARTE","5","14"
"Legislative District 7 - State Senator","OK","Mike Brunson","CHESAW","9","1"
"Legislative District 7 - State Senator","OK","Brian Dansel","CHESAW","9","13"
"Legislative District 7 - State Senator","OK","John Smith","CHESAW","9","16"
"Legislative District 7 - State Senator","OK","Mike Brunson","CONCONULLY RURAL","10","0"
"Legislative District 7 - State Senator","OK","Brian Dansel","CONCONULLY RURAL","10","6"
"Legislative District 7 - State Senator","OK","John Smith","CONCONULLY RURAL","10","17"
"Legislative District 7 - State Senator","OK","Mike Brunson","EASTLAKE","13","2"
"Legislative District 7 - State Senator","OK","Brian Dansel","EASTLAKE","13","1"
"Legislative District 7 - State Senator","OK","John Smith","EASTLAKE","13","10"
"Legislative District 7 - State Senator","OK","Mike Brunson","ELLISFORDE","15","4"
"Legislative District 7 - State Senator","OK","Brian Dansel","ELLISFORDE","15","3"
"Legislative District 7 - State Senator","OK","John Smith","ELLISFORDE","15","19"
"Legislative District 7 - State Senator","OK","Mike Brunson","ELMWAY","17","4"
"Legislative District 7 - State Senator","OK","Brian Dansel","ELMWAY","17","1"
"Legislative District 7 - State Senator","OK","John Smith","ELMWAY","17","14"
"Legislative District 7 - State Senator","OK","Mike Brunson","HAVILLAH","18","5"
"Legislative District 7 - State Senator","OK","Brian Dansel","HAVILLAH","18","5"
"Legislative District 7 - State Senator","OK","John Smith","HAVILLAH","18","29"
"Legislative District 7 - State Senator","OK","Mike Brunson","LOOMIS","19","2"
"Legislative District 7 - State Senator","OK","Brian Dansel","LOOMIS","19","4"
"Legislative District 7 - State Senator","OK","John Smith","LOOMIS","19","21"
"Legislative District 7 - State Senator","OK","Mike Brunson","MOLSON","24","0"
"Legislative District 7 - State Senator","OK","Brian Dansel","MOLSON","24","7"
"Legislative District 7 - State Senator","OK","John Smith","MOLSON","24","18"
"Legislative District 7 - State Senator","OK","Mike Brunson","NIGHTHAWK(*)","28","0"
"Legislative District 7 - State Senator","OK","Brian Dansel","NIGHTHAWK(*)","28","0"
"Legislative District 7 - State Senator","OK","John Smith","NIGHTHAWK(*)","28","0"
"Legislative District 7 - State Senator","OK","Mike Brunson","NORTH OMAK","29","2"
"Legislative District 7 - State Senator","OK","Brian Dansel","NORTH OMAK","29","9"
"Legislative District 7 - State Senator","OK","John Smith","NORTH OMAK","29","10"
"Legislative District 7 - State Senator","OK","Mike Brunson","PINE CREEK","31","4"
"Legislative District 7 - State Senator","OK","Brian Dansel","PINE CREEK","31","1"
"Legislative District 7 - State Senator","OK","John Smith","PINE CREEK","31","11"
"Legislative District 7 - State Senator","OK","Mike Brunson","RIVERSIDE RURAL","33","5"
"Legislative District 7 - State Senator","OK","Brian Dansel","RIVERSIDE RURAL","33","9"
"Legislative District 7 - State Senator","OK","John Smith","RIVERSIDE RURAL","33","32"
"Legislative District 7 - State Senator","OK","Mike Brunson","SAN POIL","34","5"
"Legislative District 7 - State Senator","OK","Brian Dansel","SAN POIL","34","13"
"Legislative District 7 - State Senator","OK","John Smith","SAN POIL","34","26"
"Legislative District 7 - State Senator","OK","Mike Brunson","SOUTH OROVILLE","35","6"
"Legislative District 7 - State Senator","OK","Brian Dansel","SOUTH OROVILLE","35","3"
"Legislative District 7 - State Senator","OK","John Smith","SOUTH OROVILLE","35","25"
"Legislative District 7 - State Senator","OK","Mike Brunson","TONASKET RURAL","37","4"
"Legislative District 7 - State Senator","OK","Brian Dansel","TONASKET RURAL","37","0"
"Legislative District 7 - State Senator","OK","John Smith","TONASKET RURAL","37","8"
"Legislative District 7 - State Senator","OK","Mike Brunson","TUNK CREEK","38","4"
"Legislative District 7 - State Senator","OK","Brian Dansel","TUNK CREEK","38","7"
"Legislative District 7 - State Senator","OK","John Smith","TUNK CREEK","38","29"
"Legislative District 7 - State Senator","OK","Mike Brunson","WAUCONDA","41","0"
"Legislative District 7 - State Senator","OK","Brian Dansel","WAUCONDA","41","19"
"Legislative District 7 - State Senator","OK","John Smith","WAUCONDA","41","9"
"Legislative District 7 - State Senator","OK","Mike Brunson","WESTLAKE","42","2"
"Legislative District 7 - State Senator","OK","Brian Dansel","WESTLAKE","42","1"
"Legislative District 7 - State Senator","OK","John Smith","WESTLAKE","42","14"
"Legislative District 7 - State Senator","OK","Mike Brunson","WHITESTONE(*)","43","0"
"Legislative District 7 - State Senator","OK","Brian Dansel","WHITESTONE(*)","43","0"
"Legislative District 7 - State Senator","OK","John Smith","WHITESTONE(*)","43","0"
"Legislative District 7 - State Senator","OK","Mike Brunson","AENEAS","48","2"
"Legislative District 7 - State Senator","OK","Brian Dansel","AENEAS","48","1"
"Legislative District 7 - State Senator","OK","John Smith","AENEAS","48","10"
"Legislative District 7 - State Senator","OK","Mike Brunson","CRUMBACHER(*)","50","0"
"Legislative District 7 - State Senator","OK","Brian Dansel","CRUMBACHER(*)","50","0"
"Legislative District 7 - State Senator","OK","John Smith","CRUMBACHER(*)","50","0"
"Legislative District 7 - State Senator","OK","Mike Brunson","KIPLING","53","1"
"Legislative District 7 - State Senator","OK","Brian Dansel","KIPLING","53","7"
"Legislative District 7 - State Senator","OK","John Smith","KIPLING","53","11"
"Legislative District 7 - State Senator","OK","Mike Brunson","TORODA","55","0"
"Legislative District 7 - State Senator","OK","Brian Dansel","TORODA","55","3"
"Legislative District 7 - State Senator","OK","John Smith","TORODA","55","14"
