Row Label,PrecinctCode,County,Registered Voters,Robert J. Waymire,BreAnna Mendoza
Total,-1,SM,NULL,2392,1453
BEAR PRAIRIE,100,SM,NULL,89,67
MT. PLEASANT,101,SM,NULL,76,78
SKYE,102,SM,NULL,85,87
UPPER WASHOUGAL,103,SM,NULL,102,84
LEWIS RIVER,104,SM,NULL,10,4
CAPE HORN,105,SM,NULL,100,118
SKAMANIA,106,SM,NULL,157,104
CASCADES,201,SM,NULL,6,3
NORTH BONNEVILLE,202,SM,NULL,219,108
ROCK CREEK,203,SM,NULL,97,46
MAPLE VIEW,204,SM,NULL,177,82
NORTH STEVENSON,205,SM,NULL,119,69
SOUTH STEVENSON,206,SM,NULL,37,18
NELSON CREEK,207,SM,NULL,62,40
CARSON CREEK,208,SM,NULL,158,69
STABLER,300,SM,NULL,194,87
WIND RIVER,303,SM,NULL,144,57
HOT SPRINGS NORTH,304,SM,NULL,70,19
HOT SPRINGS SOUTH,305,SM,NULL,117,40
WIND MOUNTAIN,307,SM,NULL,70,45
CHENOWITH,309,SM,NULL,92,56
UNDERWOOD NORTH,310,SM,NULL,127,86
UNDERWOOD SOUTH,311,SM,NULL,84,86
