Row Label,PrecinctCode,County,Registered Voters,Approved,Rejected
Total,-1,KP,NULL,6264,2929
LUOTO 122,100122,KP,NULL,158,116
POULSBO 401,100401,KP,NULL,489,145
POULSBO 403,100403,KP,NULL,335,114
POULSBO 404,100404,KP,NULL,412,144
POULSBO 405,100405,KP,NULL,396,130
POULSBO 406,100406,KP,NULL,477,160
POULSBO 407,100407,KP,NULL,291,128
BREIDABLIK 410,100410,KP,NULL,358,150
VINLAND 412,100412,KP,NULL,409,190
BELLA VISTA 413,100413,KP,NULL,277,135
KEYPORT 425,100425,KP,NULL,159,61
LEMOLO 435,100435,KP,NULL,282,159
LINCOLN 440,100440,KP,NULL,286,175
BIG VALLEY 441,100441,KP,NULL,231,143
LOFALL 442,100442,KP,NULL,467,251
PEARSON 445,100445,KP,NULL,330,193
PORT GAMBLE 450,100450,KP,NULL,281,173
GAMBLEWOOD 454,100454,KP,NULL,35,22
SCANDIA 455,100455,KP,NULL,306,212
TOTTEN 463,100463,KP,NULL,109,51
SANDY HOOK 464,100464,KP,NULL,176,77
