Row Label,PrecinctCode,County,Registered Voters,Larry Haler,Eric Kalia
Total,-1,BE,NULL,32188,8775
Hanford 4,96,BE,NULL,0,0
Hanford 3,97,BE,NULL,0,0
Hanford 2,98,BE,NULL,0,0
Hanford 1,99,BE,NULL,0,0
Columbia(*),1060,BE,NULL,0,0
Weidle,1404,BE,NULL,41,9
Elk,1407,BE,NULL,0,0
Griffin(*),1408,BE,NULL,0,0
Sunny,1414,BE,NULL,68,7
W1 - P645,1645,BE,NULL,35,30
W1 - P646,1646,BE,NULL,74,31
W1 - P650,1650,BE,NULL,284,65
W1 - P651,1651,BE,NULL,48,26
W1 - P655,1655,BE,NULL,153,25
W1 - P656,1656,BE,NULL,93,53
W1 - P657,1657,BE,NULL,186,52
W1 - P660,1660,BE,NULL,216,68
W1-P663,1663,BE,NULL,227,31
W1 - P664,1664,BE,NULL,385,110
W1 - P665,1665,BE,NULL,316,62
W1 - P667,1667,BE,NULL,84,52
W1 - P668,1668,BE,NULL,375,93
W1 - P669,1669,BE,NULL,145,45
W1 - P670,1670,BE,NULL,206,55
W1 - P674,1674,BE,NULL,175,45
W1 - P675,1675,BE,NULL,105,24
W1 - P676,1676,BE,NULL,314,91
W1 - P680,1680,BE,NULL,313,73
W1 - P681,1681,BE,NULL,217,64
W1 - P682,1682,BE,NULL,395,53
W1 - P683,1683,BE,NULL,237,46
W1 - P685,1685,BE,NULL,298,86
W1 - P686,1686,BE,NULL,268,69
W1 - P690,1690,BE,NULL,284,90
W1 - P691,1691,BE,NULL,37,9
W2 - P560,2560,BE,NULL,123,51
W2 - P565,2565,BE,NULL,82,40
W2 - P570,2570,BE,NULL,198,54
W2-P574,2574,BE,NULL,131,33
W2 - P575,2575,BE,NULL,96,30
W2 - P580,2580,BE,NULL,140,43
W2 - P585,2585,BE,NULL,128,36
W2 - P590,2590,BE,NULL,141,62
W2 - P595,2595,BE,NULL,175,52
W2 - P600,2600,BE,NULL,126,29
W2 - P601,2601,BE,NULL,117,32
W2 - P605,2605,BE,NULL,169,49
W2 - P610,2610,BE,NULL,141,54
W2 - P615,2615,BE,NULL,58,24
W2 - P620,2620,BE,NULL,161,36
W2 - P625,2625,BE,NULL,220,90
W2 - P626,2626,BE,NULL,133,31
W2 - P630,2630,BE,NULL,206,66
W2 - P633,2633,BE,NULL,271,48
W2 - P634,2634,BE,NULL,343,55
W2 - P635,2635,BE,NULL,272,65
W2 - P636,2636,BE,NULL,265,44
W2 - P637,2637,BE,NULL,285,63
W2 - P638,2638,BE,NULL,282,50
W2 - P639,2639,BE,NULL,136,50
W2 - P640,2640,BE,NULL,243,40
W2 - P641,2641,BE,NULL,163,30
W3 - P500,3500,BE,NULL,36,28
W3 - P505,3505,BE,NULL,151,59
W3 - P510,3510,BE,NULL,100,37
W3 - P515,3515,BE,NULL,109,49
W3-P516,3516,BE,NULL,11,4
W3 - P520,3520,BE,NULL,79,31
W3 - P525,3525,BE,NULL,137,59
W3 - P530,3530,BE,NULL,108,51
W3 - P535,3535,BE,NULL,99,29
W3 - P540,3540,BE,NULL,217,63
W3 - P545,3545,BE,NULL,110,47
W3 - P550,3550,BE,NULL,257,66
W3 - P551,3551,BE,NULL,213,53
W3 - P552,3552,BE,NULL,259,47
W3 - P553,3553,BE,NULL,209,70
W3 - P555,3555,BE,NULL,189,51
W3 - P556,3556,BE,NULL,308,79
W3 - P557,3557,BE,NULL,284,49
W3 - P558,3558,BE,NULL,347,62
W3 - P559,3559,BE,NULL,304,70
W3 - P560,3560,BE,NULL,127,37
WR 1,4001,BE,NULL,123,45
WR 2,4002,BE,NULL,122,50
WR 3,4003,BE,NULL,102,40
WR 4,4004,BE,NULL,335,92
WR 5,4005,BE,NULL,97,25
WR 6,4006,BE,NULL,327,92
WR 7,4007,BE,NULL,321,77
WR 8,4008,BE,NULL,328,79
WR 9,4009,BE,NULL,185,47
WR 10,4010,BE,NULL,23,5
WR 11,4011,BE,NULL,264,47
WR12,4012,BE,NULL,306,68
WR13,4013,BE,NULL,200,36
WR14,4014,BE,NULL,341,88
WR15,4015,BE,NULL,210,52
WR 16,4016,BE,NULL,177,29
WR 17,4017,BE,NULL,191,42
Enterprise,4101,BE,NULL,179,47
Harrington,4102,BE,NULL,325,56
Clements,5603,BE,NULL,56,12
Hawthorne,5608,BE,NULL,142,48
Umatilla,5619,BE,NULL,106,31
Vista,5621,BE,NULL,117,19
Yellowstone,5623,BE,NULL,130,40
Miller(*),5631,BE,NULL,0,0
Candy(*),5632,BE,NULL,0,0
Shockley(*),5634,BE,NULL,0,0
Liberty(*),5635,BE,NULL,0,0
Gage(*),5636,BE,NULL,0,0
Orchard,5637,BE,NULL,14,4
105,6105,BE,NULL,142,46
110,6110,BE,NULL,194,70
115,6115,BE,NULL,156,66
120,6120,BE,NULL,238,80
125,6125,BE,NULL,177,33
130,6130,BE,NULL,192,81
135,6135,BE,NULL,182,77
140,6140,BE,NULL,180,64
145,6145,BE,NULL,311,85
150,6150,BE,NULL,322,63
151,6151,BE,NULL,388,124
155,6155,BE,NULL,356,55
160,6160,BE,NULL,269,92
165,6165,BE,NULL,148,65
170,6170,BE,NULL,164,64
175,6175,BE,NULL,426,71
180,6180,BE,NULL,112,46
185,6185,BE,NULL,77,54
186,6186,BE,NULL,77,34
190,6190,BE,NULL,234,73
195,6195,BE,NULL,197,49
200,6200,BE,NULL,165,58
205,6205,BE,NULL,140,59
210,6210,BE,NULL,166,40
215,6215,BE,NULL,145,68
220,6220,BE,NULL,123,60
225,6225,BE,NULL,194,55
230,6230,BE,NULL,136,49
235,6235,BE,NULL,151,36
240,6240,BE,NULL,299,102
245,6245,BE,NULL,167,43
250,6250,BE,NULL,199,70
255,6255,BE,NULL,190,79
260,6260,BE,NULL,171,52
265,6265,BE,NULL,169,72
270,6270,BE,NULL,240,80
271,6271,BE,NULL,118,35
275,6275,BE,NULL,92,41
278,6278,BE,NULL,291,57
279,6279,BE,NULL,104,29
280,6280,BE,NULL,307,68
281,6281,BE,NULL,346,86
282,6282,BE,NULL,375,82
283,6283,BE,NULL,206,53
284,6284,BE,NULL,221,33
285,6285,BE,NULL,402,87
286,6286,BE,NULL,206,34
287,6287,BE,NULL,131,50
288,6288,BE,NULL,213,57
289,6289,BE,NULL,373,75
290,6290,BE,NULL,259,81
291,6291,BE,NULL,263,93
292,6292,BE,NULL,182,42
293,6293,BE,NULL,153,26
295,6295,BE,NULL,245,54
300,6300,BE,NULL,233,53
301,6301,BE,NULL,217,73
305,6305,BE,NULL,233,74
310,6310,BE,NULL,254,76
315,6315,BE,NULL,411,88
316,6316,BE,NULL,0,0
320,6320,BE,NULL,360,77
