Row Label,PrecinctCode,County,Registered Voters,Dan Kathren
Total,-1,BE,NULL,33926
Hanford 4,96,BE,NULL,0
Hanford 3,97,BE,NULL,0
Hanford 2,98,BE,NULL,0
Hanford 1,99,BE,NULL,0
450,450,BE,NULL,238
455,455,BE,NULL,189
460,460,BE,NULL,171
465,465,BE,NULL,202
470,470,BE,NULL,156
Carley,1020,BE,NULL,0
Onion,1021,BE,NULL,0
Crow Butte,1022,BE,NULL,24
Horse Heaven,1023,BE,NULL,28
Columbia,1060,BE,NULL,0
Black Rock,1061,BE,NULL,1
Expansion,1090,BE,NULL,0
Salmon,1091,BE,NULL,37
Paterson,1240,BE,NULL,12
Roe,1241,BE,NULL,11
Rattlesnake,1290,BE,NULL,41
Ida,1291,BE,NULL,0
Ridge,1292,BE,NULL,0
Reese,1360,BE,NULL,22
Pearson,1362,BE,NULL,5
Sacagawea,1363,BE,NULL,1
Wheat,1364,BE,NULL,0
Tumble Weed,1365,BE,NULL,32
Cook,1400,BE,NULL,12
Dot,1402,BE,NULL,108
McBee,1403,BE,NULL,1
Weidle,1404,BE,NULL,34
Reata,1406,BE,NULL,168
Elk,1407,BE,NULL,0
Griffin,1408,BE,NULL,4
Goose Ridge,1409,BE,NULL,45
Cone,1412,BE,NULL,126
Vineyard,1413,BE,NULL,0
Sunny,1414,BE,NULL,46
Badger,1420,BE,NULL,143
Chandler,1422,BE,NULL,26
W1 - P645,1645,BE,NULL,51
W1 - P646,1646,BE,NULL,74
W1 - P650,1650,BE,NULL,237
W1 - P651,1651,BE,NULL,44
W1 - P655,1655,BE,NULL,122
W1 - P656,1656,BE,NULL,105
W1 - P657,1657,BE,NULL,164
W1 - P660,1660,BE,NULL,186
W1-P663,1663,BE,NULL,170
W1 - P664,1664,BE,NULL,320
W1 - P665,1665,BE,NULL,252
W1 - P667,1667,BE,NULL,103
W1 - P668,1668,BE,NULL,324
W1 - P669,1669,BE,NULL,132
W1 - P670,1670,BE,NULL,187
W1 - P674,1674,BE,NULL,138
W1 - P675,1675,BE,NULL,88
W1 - P676,1676,BE,NULL,286
W1 - P680,1680,BE,NULL,248
W1 - P681,1681,BE,NULL,193
W1 - P682,1682,BE,NULL,270
W1 - P683,1683,BE,NULL,183
W1 - P685,1685,BE,NULL,253
W1 - P686,1686,BE,NULL,196
W1 - P690,1690,BE,NULL,254
W1 - P691,1691,BE,NULL,38
Buena Vista,2401,BE,NULL,320
Prosser North,2403,BE,NULL,200
South,2404,BE,NULL,149
Riverside,2405,BE,NULL,213
Walnut Grove,2406,BE,NULL,131
Susie,2407,BE,NULL,17
Apricot,2408,BE,NULL,54
Bobbie,2409,BE,NULL,0
W2 - P560,2560,BE,NULL,105
W2 - P565,2565,BE,NULL,93
W2 - P570,2570,BE,NULL,177
W2-P574,2574,BE,NULL,109
W2 - P575,2575,BE,NULL,83
W2 - P580,2580,BE,NULL,121
W2 - P585,2585,BE,NULL,102
W2 - P590,2590,BE,NULL,147
W2 - P595,2595,BE,NULL,147
W2 - P600,2600,BE,NULL,103
W2 - P601,2601,BE,NULL,111
W2 - P605,2605,BE,NULL,138
W2 - P610,2610,BE,NULL,128
W2 - P615,2615,BE,NULL,60
W2 - P620,2620,BE,NULL,137
W2 - P625,2625,BE,NULL,208
W2 - P626,2626,BE,NULL,126
W2 - P630,2630,BE,NULL,184
W2 - P633,2633,BE,NULL,192
W2 - P634,2634,BE,NULL,257
W2 - P635,2635,BE,NULL,247
W2 - P636,2636,BE,NULL,193
W2 - P637,2637,BE,NULL,235
W2 - P638,2638,BE,NULL,229
W2 - P639,2639,BE,NULL,129
W2 - P640,2640,BE,NULL,186
W2 - P641,2641,BE,NULL,133
Benton North,3001,BE,NULL,255
Benton South,3002,BE,NULL,187
Benton East,3003,BE,NULL,0
Legion,3101,BE,NULL,175
Kiona,3102,BE,NULL,286
Roza,3103,BE,NULL,0
Yakima,3104,BE,NULL,3
Demoss,3105,BE,NULL,11
Edgewater,3106,BE,NULL,150
Cherry,3107,BE,NULL,222
W3 - P500,3500,BE,NULL,39
