Row Label,PrecinctCode,County,Registered Voters,Randall K. Gaylord
Total,-1,SJ,NULL,5294
San Juan South East,11,SJ,NULL,234
San Juan South West,12,SJ,NULL,379
San Juan Central,13,SJ,NULL,340
San Juan West,14,SJ,NULL,313
San Juan North,15,SJ,NULL,290
San Juan East,16,SJ,NULL,259
Turn Point,17,SJ,NULL,141
Waldron &amp; Outer Is,21,SJ,NULL,31
Orcas West,22,SJ,NULL,437
Orcas Central,23,SJ,NULL,430
Eastsound,24,SJ,NULL,468
Orcas East,25,SJ,NULL,374
Blakely &amp; Outer Is,26,SJ,NULL,17
Lopez North,31,SJ,NULL,558
Lopez South,32,SJ,NULL,392
Decatur and Outer Is,33,SJ,NULL,20
Shaw,41,SJ,NULL,63
Friday Harbor North,101,SJ,NULL,308
Friday Harbor South,102,SJ,NULL,240
