Row Label,PrecinctCode,County,Registered Voters,Approved,Rejected
Total,-1,SN,NULL,3892,4362
LYNNWOOD 19,22131422,SN,NULL,112,188
LYNNWOOD 34,22131538,SN,NULL,81,80
LYNNWOOD  1,23231115,SN,NULL,91,55
LYNNWOOD  2,23231116,SN,NULL,113,105
LYNNWOOD  3,23231117,SN,NULL,119,148
LYNNWOOD  4,23231118,SN,NULL,118,110
LYNNWOOD  5,23231119,SN,NULL,81,80
LYNNWOOD  6,23231120,SN,NULL,131,127
LYNNWOOD  7,23231121,SN,NULL,161,179
LYNNWOOD  8,23231122,SN,NULL,94,122
LYNNWOOD  9,23231123,SN,NULL,160,173
LYNNWOOD 10,23231124,SN,NULL,92,83
LYNNWOOD 11,23231125,SN,NULL,133,162
LYNNWOOD 13,23231168,SN,NULL,104,122
LYNNWOOD 16,23231186,SN,NULL,110,148
LYNNWOOD 17,23231201,SN,NULL,159,220
LYNNWOOD 18,23231202,SN,NULL,122,161
LYNNWOOD 20,23231203,SN,NULL,144,137
LYNNWOOD 22,23231204,SN,NULL,90,105
LYNNWOOD 23,23231205,SN,NULL,148,110
LYNNWOOD 24,23231206,SN,NULL,131,87
LYNNWOOD 28,23231207,SN,NULL,68,110
LYNNWOOD 29,23231208,SN,NULL,189,186
LYNNWOOD 30,23231210,SN,NULL,140,192
LYNNWOOD 12,23231419,SN,NULL,143,146
LYNNWOOD 14,23231420,SN,NULL,99,126
LYNNWOOD 15,23231421,SN,NULL,95,116
LYNNWOOD 21,23231423,SN,NULL,109,183
LYNNWOOD 31(*),23231424,SN,NULL,0,0
LYNNWOOD 32(*),23231462,SN,NULL,0,0
LYNNWOOD 33,23231516,SN,NULL,142,173
LYNNWOOD 25,23231626,SN,NULL,174,189
LYNNWOOD 26,23231627,SN,NULL,155,156
