Row Label,PrecinctCode,County,Registered Voters,APPROVED,REJECTED
Total,-1,CM,NULL,2195,1371
BELLEVIEW 205,205,CM,NULL,309,193
BLACK DIAMOND 208,208,CM,NULL,207,108
CLARK 216,216,CM,NULL,99,79
DEER PARK 220,220,CM,NULL,243,147
DRY CREEK 224,224,CM,NULL,240,172
ELWHA 230,230,CM,NULL,84,72
FAIRVIEW 232,232,CM,NULL,242,150
FRESHWATER BAY 233,233,CM,NULL,201,118
MADISON CREEK 248,248,CM,NULL,111,78
MOUNT ANGELES 250,250,CM,NULL,177,91
MOUNT PLEASANT 251(*),251,CM,NULL,0,0
OBRIEN 253(*),253,CM,NULL,0,0
