Row Label,PrecinctCode,County,Registered Voters,Shelly Short,James R. Apker
Total,-1,FE,NULL,2211,549
BELCHER,101,FE,NULL,90,7
BOYDS,102,FE,NULL,104,20
CURLEW,103,FE,NULL,17,12
HALL CREEK,104,FE,NULL,75,29
INCHELIUM,105,FE,NULL,48,32
KELLER,106,FE,NULL,80,26
KETTLE RIVER,107,FE,NULL,157,41
KEWA,108,FE,NULL,67,28
LAMBERT,109,FE,NULL,63,14
MALO,110,FE,NULL,122,35
ORIENT,111,FE,NULL,82,43
REPUBLIC 1,112,FE,NULL,160,26
REPUBLIC 2,113,FE,NULL,147,34
SAN POIL,114,FE,NULL,216,39
SHERMAN,115,FE,NULL,170,52
SOUTH LAKE,116,FE,NULL,129,13
STORM KING,117,FE,NULL,179,33
TORODA,118,FE,NULL,84,17
TROUT CREEK,119,FE,NULL,221,48
