Row Label,PrecinctCode,County,Registered Voters,Approved,Rejected
Total,-1,AD,NULL,951,597
Ritzville Ward #1,111,AD,NULL,62,38
Ritzville Ward #2,112,AD,NULL,55,39
Ritzville Ward #3,113,AD,NULL,114,47
Ritzville Ward #4,114,AD,NULL,97,43
Ritzville Ward #5,115,AD,NULL,106,36
Ritzville Rural NW,121,AD,NULL,80,69
Ritzville Rural SE,122,AD,NULL,70,66
Batum,123,AD,NULL,45,35
Benge,211,AD,NULL,13,12
Washtucna City #1,212,AD,NULL,54,42
Washtucna Rural,221,AD,NULL,33,26
Ralston,222,AD,NULL,32,7
Lind #1,311,AD,NULL,114,80
Lind Rural,321,AD,NULL,49,22
Fairview,322,AD,NULL,13,15
Schrag,323,AD,NULL,14,20
