Row Label,PrecinctCode,County,Registered Voters,Debra L. Stephens,John (Zamboni) Scannell
Total,-1,SM,NULL,2139,819
BEAR PRAIRIE,100,SM,NULL,85,41
MT. PLEASANT,101,SM,NULL,86,41
SKYE,102,SM,NULL,93,46
UPPER WASHOUGAL,103,SM,NULL,115,38
LEWIS RIVER,104,SM,NULL,6,2
CAPE HORN,105,SM,NULL,129,50
SKAMANIA,106,SM,NULL,138,61
CASCADES,201,SM,NULL,2,4
NORTH BONNEVILLE,202,SM,NULL,172,75
ROCK CREEK,203,SM,NULL,77,29
MAPLE VIEW,204,SM,NULL,139,47
NORTH STEVENSON,205,SM,NULL,103,33
SOUTH STEVENSON,206,SM,NULL,33,9
NELSON CREEK,207,SM,NULL,59,17
CARSON CREEK,208,SM,NULL,132,47
STABLER,300,SM,NULL,133,62
WIND RIVER,303,SM,NULL,105,41
HOT SPRINGS NORTH,304,SM,NULL,45,18
HOT SPRINGS SOUTH,305,SM,NULL,69,36
WIND MOUNTAIN,307,SM,NULL,57,24
CHENOWITH,309,SM,NULL,90,33
UNDERWOOD NORTH,310,SM,NULL,150,36
UNDERWOOD SOUTH,311,SM,NULL,121,29
