Row Label,PrecinctCode,County,Registered Voters,Adam N. Kick
Total,-1,SM,NULL,2883
BEAR PRAIRIE,100,SM,NULL,100
MT. PLEASANT,101,SM,NULL,105
SKYE,102,SM,NULL,126
UPPER WASHOUGAL,103,SM,NULL,119
LEWIS RIVER,104,SM,NULL,13
CAPE HORN,105,SM,NULL,148
SKAMANIA,106,SM,NULL,177
CASCADES,201,SM,NULL,6
NORTH BONNEVILLE,202,SM,NULL,251
ROCK CREEK,203,SM,NULL,113
MAPLE VIEW,204,SM,NULL,211
NORTH STEVENSON,205,SM,NULL,151
SOUTH STEVENSON,206,SM,NULL,43
NELSON CREEK,207,SM,NULL,76
CARSON CREEK,208,SM,NULL,177
STABLER,300,SM,NULL,214
WIND RIVER,303,SM,NULL,158
HOT SPRINGS NORTH,304,SM,NULL,68
HOT SPRINGS SOUTH,305,SM,NULL,133
WIND MOUNTAIN,307,SM,NULL,78
CHENOWITH,309,SM,NULL,104
UNDERWOOD NORTH,310,SM,NULL,166
UNDERWOOD SOUTH,311,SM,NULL,146
