Row Label,PrecinctCode,County,Registered Voters,Shon Small,Timothy Dalton
Total,-1,BE,NULL,28185,17157
Hanford 4,96,BE,NULL,0,0
Hanford 3,97,BE,NULL,0,0
Hanford 2,98,BE,NULL,0,0
Hanford 1,99,BE,NULL,0,0
450,450,BE,NULL,229,86
455,455,BE,NULL,176,79
460,460,BE,NULL,194,59
465,465,BE,NULL,223,76
470,470,BE,NULL,149,61
Carley(*),1020,BE,NULL,0,0
Onion(*),1021,BE,NULL,0,0
Crow Butte,1022,BE,NULL,29,4
Horse Heaven,1023,BE,NULL,23,17
Columbia(*),1060,BE,NULL,0,0
Black Rock(*),1061,BE,NULL,0,0
Expansion(*),1090,BE,NULL,0,0
Salmon,1091,BE,NULL,32,24
Paterson,1240,BE,NULL,7,14
Roe,1241,BE,NULL,10,6
Rattlesnake,1290,BE,NULL,59,13
Ida,1291,BE,NULL,0,0
Ridge,1292,BE,NULL,0,0
Reese(*),1360,BE,NULL,0,0
Pearson(*),1362,BE,NULL,0,0
Sacagawea(*),1363,BE,NULL,0,0
Wheat,1364,BE,NULL,0,0
Tumble Weed,1365,BE,NULL,30,22
Cook,1400,BE,NULL,9,6
Dot,1402,BE,NULL,77,54
McBee(*),1403,BE,NULL,0,0
Weidle,1404,BE,NULL,32,18
Reata,1406,BE,NULL,139,90
Elk,1407,BE,NULL,0,0
Griffin(*),1408,BE,NULL,0,0
Goose Ridge,1409,BE,NULL,38,26
Cone,1412,BE,NULL,96,70
Vineyard(*),1413,BE,NULL,0,0
Sunny,1414,BE,NULL,39,24
Badger,1420,BE,NULL,148,72
Chandler,1422,BE,NULL,26,14
W1 - P645,1645,BE,NULL,30,25
W1 - P646,1646,BE,NULL,54,40
W1 - P650,1650,BE,NULL,193,118
W1 - P651,1651,BE,NULL,43,16
W1 - P655,1655,BE,NULL,127,41
W1 - P656,1656,BE,NULL,69,56
W1 - P657,1657,BE,NULL,148,66
W1 - P660,1660,BE,NULL,158,105
W1-P663,1663,BE,NULL,166,71
W1 - P664,1664,BE,NULL,273,149
W1 - P665,1665,BE,NULL,223,117
W1 - P667,1667,BE,NULL,65,58
W1 - P668,1668,BE,NULL,269,154
W1 - P669,1669,BE,NULL,101,69
W1 - P670,1670,BE,NULL,156,74
W1 - P674,1674,BE,NULL,102,88
W1 - P675,1675,BE,NULL,82,40
W1 - P676,1676,BE,NULL,222,128
W1 - P680,1680,BE,NULL,201,135
W1 - P681,1681,BE,NULL,180,63
W1 - P682,1682,BE,NULL,263,122
W1 - P683,1683,BE,NULL,174,79
W1 - P685,1685,BE,NULL,213,125
W1 - P686,1686,BE,NULL,177,112
W1 - P690,1690,BE,NULL,215,114
W1 - P691,1691,BE,NULL,23,20
Buena Vista,2401,BE,NULL,329,114
Prosser North,2403,BE,NULL,213,66
South,2404,BE,NULL,143,84
Riverside,2405,BE,NULL,200,106
Walnut Grove,2406,BE,NULL,146,50
Susie,2407,BE,NULL,20,18
Apricot,2408,BE,NULL,52,18
Bobbie,2409,BE,NULL,0,0
W2 - P560,2560,BE,NULL,95,51
W2 - P565,2565,BE,NULL,58,53
W2 - P570,2570,BE,NULL,153,72
W2-P574,2574,BE,NULL,99,50
W2 - P575,2575,BE,NULL,60,50
W2 - P580,2580,BE,NULL,102,65
W2 - P585,2585,BE,NULL,64,74
W2 - P590,2590,BE,NULL,77,100
W2 - P595,2595,BE,NULL,121,84
W2 - P600,2600,BE,NULL,85,53
W2 - P601,2601,BE,NULL,83,54
W2 - P605,2605,BE,NULL,108,88
W2 - P610,2610,BE,NULL,103,69
W2 - P615,2615,BE,NULL,40,27
W2 - P620,2620,BE,NULL,109,76
W2 - P625,2625,BE,NULL,163,103
W2 - P626,2626,BE,NULL,82,63
W2 - P630,2630,BE,NULL,130,105
W2 - P633,2633,BE,NULL,201,90
W2 - P634,2634,BE,NULL,264,100
W2 - P635,2635,BE,NULL,171,135
W2 - P636,2636,BE,NULL,167,97
W2 - P637,2637,BE,NULL,172,122
W2 - P638,2638,BE,NULL,205,96
W2 - P639,2639,BE,NULL,97,73
W2 - P640,2640,BE,NULL,181,77
W2 - P641,2641,BE,NULL,127,45
Benton North,3001,BE,NULL,230,120
Benton South,3002,BE,NULL,153,95
Benton East,3003,BE,NULL,0,0
Legion,3101,BE,NULL,163,108
Kiona,3102,BE,NULL,225,167
Roza,3103,BE,NULL,0,0
Yakima(*),3104,BE,NULL,0,0
Demoss,3105,BE,NULL,9,8
Edgewater,3106,BE,NULL,130,86
Cherry,3107,BE,NULL,194,99
W3 - P500,3500,BE,NULL,33,15
W3 - P505,3505,BE,NULL,96,95
W3 - P510,3510,BE,NULL,66,58
W3-P511,3511,BE,NULL,11,7
W3 - P515,3515,BE,NULL,75,63
W3-P516(*),3516,BE,NULL,0,0
W3 - P520,3520,BE,NULL,50,41
W3 - P525,3525,BE,NULL,76,98
W3 - P530,3530,BE,NULL,67,74
W3 - P535,3535,BE,NULL,63,48
W3 - P540,3540,BE,NULL,152,98
W3 - P545,3545,BE,NULL,82,58
W3 - P550,3550,BE,NULL,168,121
W3 - P551,3551,BE,NULL,142,93
W3 - P552,3552,BE,NULL,183,94
W3 - P553,3553,BE,NULL,164,86
W3 - P555,3555,BE,NULL,124,90
W3 - P556,3556,BE,NULL,221,125
W3 - P557,3557,BE,NULL,172,136
W3 - P558,3558,BE,NULL,238,130
W3 - P559,3559,BE,NULL,212,129
W3 - P560,3560,BE,NULL,88,44
WR 1,4001,BE,NULL,75,60
WR 2,4002,BE,NULL,92,61
