Row Label,PrecinctCode,County,Registered Voters,Gina R. McCabe,Paul George
Total,-1,SM,NULL,2367,1419
BEAR PRAIRIE,100,SM,NULL,123,34
MT. PLEASANT,101,SM,NULL,102,59
SKYE,102,SM,NULL,109,72
UPPER WASHOUGAL,103,SM,NULL,127,61
LEWIS RIVER,104,SM,NULL,7,9
CAPE HORN,105,SM,NULL,132,79
SKAMANIA,106,SM,NULL,163,100
CASCADES,201,SM,NULL,7,2
NORTH BONNEVILLE,202,SM,NULL,184,129
ROCK CREEK,203,SM,NULL,87,49
MAPLE VIEW,204,SM,NULL,127,120
NORTH STEVENSON,205,SM,NULL,95,77
SOUTH STEVENSON,206,SM,NULL,29,25
NELSON CREEK,207,SM,NULL,58,40
CARSON CREEK,208,SM,NULL,147,71
STABLER,300,SM,NULL,187,87
WIND RIVER,303,SM,NULL,130,57
HOT SPRINGS NORTH,304,SM,NULL,63,23
HOT SPRINGS SOUTH,305,SM,NULL,101,47
WIND MOUNTAIN,307,SM,NULL,73,46
CHENOWITH,309,SM,NULL,94,58
UNDERWOOD NORTH,310,SM,NULL,133,83
UNDERWOOD SOUTH,311,SM,NULL,89,91
