Row Label,PrecinctCode,County,Registered Voters,Steve Keane
WR15,4015,BE,NULL,202
WR 16,4016,BE,NULL,163
WR 17,4017,BE,NULL,175
Enterprise,4101,BE,NULL,145
Harrington,4102,BE,NULL,281
Red Mountain,4103,BE,NULL,193
Cascade,5602,BE,NULL,204
Clements,5603,BE,NULL,53
Finley,5606,BE,NULL,332
Hawthorne,5608,BE,NULL,143
Hedges,5609,BE,NULL,173
Jewel,5613,BE,NULL,27
Kennewick Valley,5615,BE,NULL,214
Umatilla,5619,BE,NULL,88
Vista,5621,BE,NULL,104
Washington,5622,BE,NULL,84
Yellowstone,5623,BE,NULL,118
Oak,5624,BE,NULL,107
Celilo,5625,BE,NULL,241
Randy,5626,BE,NULL,94
El Rancho,5627,BE,NULL,329
Mills,5628,BE,NULL,279
Ivey,5629,BE,NULL,162
Canyon,5630,BE,NULL,211
Miller,5631,BE,NULL,1
Candy,5632,BE,NULL,5
French,5633,BE,NULL,30
Shockley,5634,BE,NULL,4
Liberty,5635,BE,NULL,9
Gage,5636,BE,NULL,4
Orchard,5637,BE,NULL,13
White Bluffs,5638,BE,NULL,291
(none),5639,BE,NULL,215
105,6105,BE,NULL,150
110,6110,BE,NULL,178
115,6115,BE,NULL,128
120,6120,BE,NULL,205
125,6125,BE,NULL,147
130,6130,BE,NULL,173
135,6135,BE,NULL,166
140,6140,BE,NULL,154
145,6145,BE,NULL,277
150,6150,BE,NULL,287
151,6151,BE,NULL,380
155,6155,BE,NULL,301
160,6160,BE,NULL,249
165,6165,BE,NULL,146
170,6170,BE,NULL,168
175,6175,BE,NULL,356
180,6180,BE,NULL,116
185,6185,BE,NULL,91
186,6186,BE,NULL,70
190,6190,BE,NULL,215
195,6195,BE,NULL,171
200,6200,BE,NULL,170
205,6205,BE,NULL,148
210,6210,BE,NULL,157
215,6215,BE,NULL,141
220,6220,BE,NULL,119
225,6225,BE,NULL,170
230,6230,BE,NULL,136
235,6235,BE,NULL,131
240,6240,BE,NULL,281
245,6245,BE,NULL,166
250,6250,BE,NULL,201
255,6255,BE,NULL,192
260,6260,BE,NULL,164
265,6265,BE,NULL,170
270,6270,BE,NULL,236
271,6271,BE,NULL,115
275,6275,BE,NULL,81
278,6278,BE,NULL,248
279,6279,BE,NULL,90
280,6280,BE,NULL,267
281,6281,BE,NULL,298
282,6282,BE,NULL,340
283,6283,BE,NULL,185
284,6284,BE,NULL,202
285,6285,BE,NULL,346
286,6286,BE,NULL,177
287,6287,BE,NULL,147
288,6288,BE,NULL,202
289,6289,BE,NULL,340
290,6290,BE,NULL,239
291,6291,BE,NULL,259
292,6292,BE,NULL,175
293,6293,BE,NULL,140
295,6295,BE,NULL,220
300,6300,BE,NULL,202
301,6301,BE,NULL,220
305,6305,BE,NULL,211
310,6310,BE,NULL,245
311,6311,BE,NULL,0
315,6315,BE,NULL,363
316,6316,BE,NULL,0
320,6320,BE,NULL,310
