Row Label,PrecinctCode,County,Registered Voters,Approved,Rejected
Total,-1,WM,NULL,3975,3847
116,116,WM,NULL,126,175
117,117,WM,NULL,196,189
118,118,WM,NULL,232,292
139,139,WM,NULL,112,128
140    ,140,WM,NULL,100,104
144    ,144,WM,NULL,272,311
146    ,146,WM,NULL,102,110
601,601,WM,NULL,346,324
602,602,WM,NULL,344,230
603,603,WM,NULL,216,211
604    ,604,WM,NULL,246,216
605,605,WM,NULL,175,128
606    ,606,WM,NULL,270,234
607    ,607,WM,NULL,219,234
608    ,608,WM,NULL,232,200
609    ,609,WM,NULL,312,282
610    ,610,WM,NULL,315,272
611    ,611,WM,NULL,160,207
