Row Label,PrecinctCode,County,Registered Voters,F. Milene Henley
Total,-1,SJ,NULL,5432
San Juan South East,11,SJ,NULL,263
San Juan South West,12,SJ,NULL,374
San Juan Central,13,SJ,NULL,345
San Juan West,14,SJ,NULL,328
San Juan North,15,SJ,NULL,307
San Juan East,16,SJ,NULL,295
Turn Point,17,SJ,NULL,169
Waldron &amp; Outer Is,21,SJ,NULL,34
Orcas West,22,SJ,NULL,422
Orcas Central,23,SJ,NULL,427
Eastsound,24,SJ,NULL,442
Orcas East,25,SJ,NULL,375
Blakely &amp; Outer Is,26,SJ,NULL,21
Lopez North,31,SJ,NULL,574
Lopez South,32,SJ,NULL,403
Decatur and Outer Is,33,SJ,NULL,22
Shaw,41,SJ,NULL,68
Friday Harbor North,101,SJ,NULL,315
Friday Harbor South,102,SJ,NULL,248
