Row Label,PrecinctCode,County,Registered Voters,Norm Johnson,Michael S. Brumback
Total,-1,SM,NULL,1867,1815
BEAR PRAIRIE,100,SM,NULL,83,70
MT. PLEASANT,101,SM,NULL,80,75
SKYE,102,SM,NULL,77,98
UPPER WASHOUGAL,103,SM,NULL,101,83
LEWIS RIVER,104,SM,NULL,9,5
CAPE HORN,105,SM,NULL,95,118
SKAMANIA(*),106,SM,NULL,0,0
CASCADES(*),201,SM,NULL,0,0
NORTH BONNEVILLE,202,SM,NULL,142,164
ROCK CREEK,203,SM,NULL,75,61
MAPLE VIEW,204,SM,NULL,91,134
NORTH STEVENSON,205,SM,NULL,86,85
SOUTH STEVENSON,206,SM,NULL,29,22
NELSON CREEK,207,SM,NULL,49,45
CARSON CREEK,208,SM,NULL,108,108
STABLER,300,SM,NULL,143,135
WIND RIVER,303,SM,NULL,102,77
HOT SPRINGS NORTH,304,SM,NULL,45,39
HOT SPRINGS SOUTH,305,SM,NULL,85,60
WIND MOUNTAIN,307,SM,NULL,70,48
CHENOWITH,309,SM,NULL,66,82
UNDERWOOD NORTH,310,SM,NULL,115,89
UNDERWOOD SOUTH,311,SM,NULL,89,80
