Row Label,PrecinctCode,County,Registered Voters,John Hansens
Total,-1,BE,NULL,38510
Hanford 4,96,BE,NULL,0
Hanford 3,97,BE,NULL,0
Hanford 2,98,BE,NULL,0
Hanford 1,99,BE,NULL,0
450,450,BE,NULL,258
455,455,BE,NULL,199
460,460,BE,NULL,196
465,465,BE,NULL,227
470,470,BE,NULL,170
Carley,1020,BE,NULL,0
Onion,1021,BE,NULL,0
Crow Butte,1022,BE,NULL,28
Horse Heaven,1023,BE,NULL,32
Columbia,1060,BE,NULL,0
Black Rock,1061,BE,NULL,1
Expansion,1090,BE,NULL,1
Salmon,1091,BE,NULL,45
Paterson,1240,BE,NULL,14
Roe,1241,BE,NULL,14
Rattlesnake,1290,BE,NULL,53
Ida,1291,BE,NULL,0
Ridge,1292,BE,NULL,0
Reese,1360,BE,NULL,25
Pearson,1362,BE,NULL,5
Sacagawea,1363,BE,NULL,1
Wheat,1364,BE,NULL,0
Tumble Weed,1365,BE,NULL,39
Cook,1400,BE,NULL,12
Dot,1402,BE,NULL,113
McBee,1403,BE,NULL,2
Weidle,1404,BE,NULL,39
Reata,1406,BE,NULL,192
Elk,1407,BE,NULL,0
Griffin,1408,BE,NULL,4
Goose Ridge,1409,BE,NULL,50
Cone,1412,BE,NULL,136
Vineyard,1413,BE,NULL,0
Sunny,1414,BE,NULL,54
Badger,1420,BE,NULL,171
Chandler,1422,BE,NULL,34
W1 - P645,1645,BE,NULL,48
W1 - P646,1646,BE,NULL,81
W1 - P650,1650,BE,NULL,275
W1 - P651,1651,BE,NULL,51
W1 - P655,1655,BE,NULL,141
W1 - P656,1656,BE,NULL,119
W1 - P657,1657,BE,NULL,179
W1 - P660,1660,BE,NULL,220
W1-P663,1663,BE,NULL,206
W1 - P664,1664,BE,NULL,376
W1 - P665,1665,BE,NULL,311
W1 - P667,1667,BE,NULL,106
W1 - P668,1668,BE,NULL,364
W1 - P669,1669,BE,NULL,152
W1 - P670,1670,BE,NULL,212
W1 - P674,1674,BE,NULL,160
W1 - P675,1675,BE,NULL,99
W1 - P676,1676,BE,NULL,330
W1 - P680,1680,BE,NULL,293
W1 - P681,1681,BE,NULL,214
W1 - P682,1682,BE,NULL,343
W1 - P683,1683,BE,NULL,216
W1 - P685,1685,BE,NULL,274
W1 - P686,1686,BE,NULL,241
W1 - P690,1690,BE,NULL,287
W1 - P691,1691,BE,NULL,40
Buena Vista,2401,BE,NULL,352
Prosser North,2403,BE,NULL,223
South,2404,BE,NULL,163
Riverside,2405,BE,NULL,244
Walnut Grove,2406,BE,NULL,145
Susie,2407,BE,NULL,20
Apricot,2408,BE,NULL,59
Bobbie,2409,BE,NULL,0
W2 - P560,2560,BE,NULL,125
W2 - P565,2565,BE,NULL,105
W2 - P570,2570,BE,NULL,211
W2-P574,2574,BE,NULL,128
W2 - P575,2575,BE,NULL,94
W2 - P580,2580,BE,NULL,145
W2 - P585,2585,BE,NULL,118
W2 - P590,2590,BE,NULL,157
W2 - P595,2595,BE,NULL,168
W2 - P600,2600,BE,NULL,110
W2 - P601,2601,BE,NULL,122
W2 - P605,2605,BE,NULL,164
W2 - P610,2610,BE,NULL,146
W2 - P615,2615,BE,NULL,62
W2 - P620,2620,BE,NULL,165
W2 - P625,2625,BE,NULL,221
W2 - P626,2626,BE,NULL,130
W2 - P630,2630,BE,NULL,201
W2 - P633,2633,BE,NULL,235
W2 - P634,2634,BE,NULL,310
W2 - P635,2635,BE,NULL,274
W2 - P636,2636,BE,NULL,233
W2 - P637,2637,BE,NULL,266
W2 - P638,2638,BE,NULL,270
W2 - P639,2639,BE,NULL,144
W2 - P640,2640,BE,NULL,207
W2 - P641,2641,BE,NULL,156
Benton North,3001,BE,NULL,287
Benton South,3002,BE,NULL,196
Benton East,3003,BE,NULL,0
Legion,3101,BE,NULL,210
Kiona,3102,BE,NULL,315
Roza,3103,BE,NULL,0
Yakima,3104,BE,NULL,5
Demoss,3105,BE,NULL,15
Edgewater,3106,BE,NULL,171
Cherry,3107,BE,NULL,236
W3 - P500,3500,BE,NULL,36
W3 - P505,3505,BE,NULL,169
W3 - P510,3510,BE,NULL,108
W3-P511,3511,BE,NULL,18
W3 - P515,3515,BE,NULL,120
W3-P516,3516,BE,NULL,10
W3 - P520,3520,BE,NULL,83
W3 - P525,3525,BE,NULL,134
W3 - P530,3530,BE,NULL,128
W3 - P535,3535,BE,NULL,102
W3 - P540,3540,BE,NULL,210
W3 - P545,3545,BE,NULL,125
W3 - P550,3550,BE,NULL,259
W3 - P551,3551,BE,NULL,201
W3 - P552,3552,BE,NULL,237
W3 - P553,3553,BE,NULL,222
W3 - P555,3555,BE,NULL,200
W3 - P556,3556,BE,NULL,293
W3 - P557,3557,BE,NULL,254
W3 - P558,3558,BE,NULL,325
W3 - P559,3559,BE,NULL,301
W3 - P560,3560,BE,NULL,111
WR 1,4001,BE,NULL,115
WR 2,4002,BE,NULL,135
WR 3,4003,BE,NULL,119
WR 4,4004,BE,NULL,305
WR 5,4005,BE,NULL,94
WR 6,4006,BE,NULL,290
WR 7,4007,BE,NULL,275
WR 8,4008,BE,NULL,293
WR 9,4009,BE,NULL,172
WR 10,4010,BE,NULL,23
WR 11,4011,BE,NULL,245
WR12,4012,BE,NULL,285
WR13,4013,BE,NULL,184
WR14,4014,BE,NULL,313
WR15,4015,BE,NULL,205
WR 16,4016,BE,NULL,162
WR 17,4017,BE,NULL,169
Enterprise,4101,BE,NULL,152
Harrington,4102,BE,NULL,294
Red Mountain,4103,BE,NULL,198
Cascade,5602,BE,NULL,205
Clements,5603,BE,NULL,52
Finley,5606,BE,NULL,331
