Row Label,PrecinctCode,County,Registered Voters,Rachel D. Siracuse
Total,-1,FE,NULL,2241
BELCHER,101,FE,NULL,73
BOYDS,102,FE,NULL,102
CURLEW,103,FE,NULL,22
HALL CREEK,104,FE,NULL,78
INCHELIUM,105,FE,NULL,56
KELLER,106,FE,NULL,94
KETTLE RIVER,107,FE,NULL,163
KEWA,108,FE,NULL,75
LAMBERT,109,FE,NULL,61
MALO,110,FE,NULL,129
ORIENT,111,FE,NULL,90
REPUBLIC 1,112,FE,NULL,169
REPUBLIC 2,113,FE,NULL,153
SAN POIL,114,FE,NULL,202
SHERMAN,115,FE,NULL,179
SOUTH LAKE,116,FE,NULL,125
STORM KING,117,FE,NULL,176
TORODA,118,FE,NULL,81
TROUT CREEK,119,FE,NULL,213
