Row Label,PrecinctCode,County,Registered Voters,Sharon Brown,Doug McKinley
Total,-1,BE,NULL,30552,10649
Hanford 4,96,BE,NULL,0,0
Hanford 3,97,BE,NULL,0,0
Hanford 2,98,BE,NULL,0,0
Hanford 1,99,BE,NULL,0,0
Columbia(*),1060,BE,NULL,0,0
Weidle,1404,BE,NULL,40,11
Elk,1407,BE,NULL,0,0
Griffin(*),1408,BE,NULL,0,0
Sunny,1414,BE,NULL,63,11
W1 - P645,1645,BE,NULL,38,26
W1 - P646,1646,BE,NULL,71,34
W1 - P650,1650,BE,NULL,274,85
W1 - P651,1651,BE,NULL,48,27
W1 - P655,1655,BE,NULL,146,38
W1 - P656,1656,BE,NULL,92,56
W1 - P657,1657,BE,NULL,180,57
W1 - P660,1660,BE,NULL,218,72
W1-P663,1663,BE,NULL,224,38
W1 - P664,1664,BE,NULL,378,120
W1 - P665,1665,BE,NULL,313,66
W1 - P667,1667,BE,NULL,80,59
W1 - P668,1668,BE,NULL,363,105
W1 - P669,1669,BE,NULL,135,55
W1 - P670,1670,BE,NULL,195,63
W1 - P674,1674,BE,NULL,167,54
W1 - P675,1675,BE,NULL,99,33
W1 - P676,1676,BE,NULL,314,92
W1 - P680,1680,BE,NULL,307,73
W1 - P681,1681,BE,NULL,213,73
W1 - P682,1682,BE,NULL,371,72
W1 - P683,1683,BE,NULL,221,62
W1 - P685,1685,BE,NULL,283,100
W1 - P686,1686,BE,NULL,246,93
W1 - P690,1690,BE,NULL,275,104
W1 - P691,1691,BE,NULL,35,9
W2 - P560,2560,BE,NULL,125,56
W2 - P565,2565,BE,NULL,81,40
W2 - P570,2570,BE,NULL,199,53
W2-P574,2574,BE,NULL,124,41
W2 - P575,2575,BE,NULL,88,43
W2 - P580,2580,BE,NULL,135,56
W2 - P585,2585,BE,NULL,125,41
W2 - P590,2590,BE,NULL,140,63
W2 - P595,2595,BE,NULL,173,56
W2 - P600,2600,BE,NULL,121,33
W2 - P601,2601,BE,NULL,114,36
W2 - P605,2605,BE,NULL,174,48
W2 - P610,2610,BE,NULL,129,69
W2 - P615,2615,BE,NULL,64,22
W2 - P620,2620,BE,NULL,164,31
W2 - P625,2625,BE,NULL,205,106
W2 - P626,2626,BE,NULL,126,35
W2 - P630,2630,BE,NULL,193,76
W2 - P633,2633,BE,NULL,257,66
W2 - P634,2634,BE,NULL,341,65
W2 - P635,2635,BE,NULL,264,75
W2 - P636,2636,BE,NULL,258,49
W2 - P637,2637,BE,NULL,289,69
W2 - P638,2638,BE,NULL,277,58
W2 - P639,2639,BE,NULL,138,51
W2 - P640,2640,BE,NULL,240,42
W2 - P641,2641,BE,NULL,158,38
