Row Label,PrecinctCode,County,Registered Voters,Terry R. Nealey,Frank Blair
Total,-1,BE,NULL,7705,2569
450,450,BE,NULL,205,89
455,455,BE,NULL,162,87
460,460,BE,NULL,198,56
465,465,BE,NULL,217,83
470,470,BE,NULL,148,58
Carley(*),1020,BE,NULL,0,0
Onion(*),1021,BE,NULL,0,0
Crow Butte(*),1022,BE,NULL,0,0
Horse Heaven,1023,BE,NULL,29,9
Black Rock(*),1061,BE,NULL,0,0
Expansion(*),1090,BE,NULL,0,0
Salmon,1091,BE,NULL,49,14
Paterson,1240,BE,NULL,14,4
Roe(*),1241,BE,NULL,0,0
Rattlesnake,1290,BE,NULL,51,13
Ida,1291,BE,NULL,0,0
Ridge,1292,BE,NULL,0,0
Reese,1360,BE,NULL,37,2
Pearson(*),1362,BE,NULL,0,0
Sacagawea(*),1363,BE,NULL,0,0
Wheat,1364,BE,NULL,0,0
Tumble Weed,1365,BE,NULL,48,10
Cook,1400,BE,NULL,12,4
Dot,1402,BE,NULL,108,30
McBee(*),1403,BE,NULL,0,0
Reata,1406,BE,NULL,186,51
Goose Ridge,1409,BE,NULL,61,11
Cone,1412,BE,NULL,133,46
Vineyard(*),1413,BE,NULL,0,0
Badger,1420,BE,NULL,205,35
Chandler,1422,BE,NULL,37,9
Buena Vista,2401,BE,NULL,329,107
Prosser North,2403,BE,NULL,212,71
South,2404,BE,NULL,174,52
Riverside,2405,BE,NULL,230,77
Walnut Grove,2406,BE,NULL,113,72
Susie,2407,BE,NULL,33,2
Apricot,2408,BE,NULL,52,14
Bobbie,2409,BE,NULL,0,0
Benton North,3001,BE,NULL,238,122
Benton South,3002,BE,NULL,161,93
Benton East,3003,BE,NULL,0,0
Legion,3101,BE,NULL,189,92
Kiona,3102,BE,NULL,325,119
Roza,3103,BE,NULL,0,0
Yakima(*),3104,BE,NULL,0,0
Demoss,3105,BE,NULL,13,5
Edgewater,3106,BE,NULL,174,55
Cherry,3107,BE,NULL,217,91
W3-P511,3511,BE,NULL,11,12
Red Mountain,4103,BE,NULL,196,70
Cascade,5602,BE,NULL,190,55
Finley,5606,BE,NULL,318,110
Hedges,5609,BE,NULL,174,52
Jewel,5613,BE,NULL,37,6
Kennewick Valley,5615,BE,NULL,196,78
Washington,5622,BE,NULL,83,30
Oak,5624,BE,NULL,104,45
Celilo,5625,BE,NULL,263,81
Randy,5626,BE,NULL,97,32
El Rancho,5627,BE,NULL,367,81
Mills,5628,BE,NULL,246,106
Ivey,5629,BE,NULL,149,56
Canyon,5630,BE,NULL,240,53
French,5633,BE,NULL,27,10
White Bluffs,5638,BE,NULL,328,72
(none),5639,BE,NULL,246,33
311,6311,BE,NULL,0,0
