Row Label,PrecinctCode,County,Registered Voters,Liz Green,Thomas Linde
Total,-1,SM,NULL,1971,1602
BEAR PRAIRIE,100,SM,NULL,73,51
MT. PLEASANT,101,SM,NULL,82,52
SKYE,102,SM,NULL,97,46
UPPER WASHOUGAL,103,SM,NULL,95,71
LEWIS RIVER,104,SM,NULL,2,8
CAPE HORN,105,SM,NULL,127,71
SKAMANIA,106,SM,NULL,153,87
CASCADES,201,SM,NULL,6,2
NORTH BONNEVILLE,202,SM,NULL,181,123
ROCK CREEK,203,SM,NULL,65,70
MAPLE VIEW,204,SM,NULL,123,112
NORTH STEVENSON,205,SM,NULL,88,84
SOUTH STEVENSON,206,SM,NULL,23,25
NELSON CREEK,207,SM,NULL,53,44
CARSON CREEK,208,SM,NULL,105,109
STABLER,300,SM,NULL,113,158
WIND RIVER,303,SM,NULL,77,111
HOT SPRINGS NORTH,304,SM,NULL,46,43
HOT SPRINGS SOUTH,305,SM,NULL,52,96
WIND MOUNTAIN,307,SM,NULL,54,66
CHENOWITH,309,SM,NULL,132,33
UNDERWOOD NORTH,310,SM,NULL,104,95
UNDERWOOD SOUTH,311,SM,NULL,120,45
