Row Label,PrecinctCode,County,Registered Voters,Dianna Galvan
Total,-1,FE,NULL,2241
BELCHER,101,FE,NULL,73
BOYDS,102,FE,NULL,99
CURLEW,103,FE,NULL,24
HALL CREEK,104,FE,NULL,79
INCHELIUM,105,FE,NULL,58
KELLER,106,FE,NULL,100
KETTLE RIVER,107,FE,NULL,163
KEWA,108,FE,NULL,78
LAMBERT,109,FE,NULL,64
MALO,110,FE,NULL,120
ORIENT,111,FE,NULL,92
REPUBLIC 1,112,FE,NULL,172
REPUBLIC 2,113,FE,NULL,151
SAN POIL,114,FE,NULL,197
SHERMAN,115,FE,NULL,179
SOUTH LAKE,116,FE,NULL,128
STORM KING,117,FE,NULL,177
TORODA,118,FE,NULL,84
TROUT CREEK,119,FE,NULL,203
