Row Label,PrecinctCode,County,Registered Voters,Raymond Maycumber,Thomas L. Williams
Total,-1,FE,NULL,2018,788
BELCHER,101,FE,NULL,83,18
BOYDS,102,FE,NULL,79,39
CURLEW,103,FE,NULL,22,4
HALL CREEK,104,FE,NULL,54,41
INCHELIUM,105,FE,NULL,26,44
KELLER,106,FE,NULL,74,36
KETTLE RIVER,107,FE,NULL,150,47
KEWA,108,FE,NULL,47,45
LAMBERT,109,FE,NULL,71,11
MALO,110,FE,NULL,117,44
ORIENT,111,FE,NULL,85,43
REPUBLIC 1,112,FE,NULL,147,52
REPUBLIC 2,113,FE,NULL,138,61
SAN POIL,114,FE,NULL,208,52
SHERMAN,115,FE,NULL,146,57
SOUTH LAKE,116,FE,NULL,116,36
STORM KING,117,FE,NULL,157,60
TORODA,118,FE,NULL,78,32
TROUT CREEK,119,FE,NULL,220,66
