Row Label,PrecinctCode,County,Registered Voters,Duane A. Davidson
Total,-1,BE,NULL,38215
Hanford 4,96,BE,NULL,0
Hanford 3,97,BE,NULL,0
Hanford 2,98,BE,NULL,0
Hanford 1,99,BE,NULL,0
450,450,BE,NULL,250
455,455,BE,NULL,193
460,460,BE,NULL,199
465,465,BE,NULL,230
470,470,BE,NULL,174
Carley,1020,BE,NULL,0
Onion,1021,BE,NULL,0
Crow Butte,1022,BE,NULL,28
Horse Heaven,1023,BE,NULL,31
Columbia,1060,BE,NULL,0
Black Rock,1061,BE,NULL,1
Expansion,1090,BE,NULL,1
Salmon,1091,BE,NULL,45
Paterson,1240,BE,NULL,14
Roe,1241,BE,NULL,13
Rattlesnake,1290,BE,NULL,54
Ida,1291,BE,NULL,0
Ridge,1292,BE,NULL,0
Reese,1360,BE,NULL,28
Pearson,1362,BE,NULL,5
Sacagawea,1363,BE,NULL,1
Wheat,1364,BE,NULL,0
Tumble Weed,1365,BE,NULL,43
Cook,1400,BE,NULL,13
Dot,1402,BE,NULL,117
McBee,1403,BE,NULL,2
Weidle,1404,BE,NULL,38
Reata,1406,BE,NULL,186
Elk,1407,BE,NULL,0
Griffin,1408,BE,NULL,4
Goose Ridge,1409,BE,NULL,49
Cone,1412,BE,NULL,134
Vineyard,1413,BE,NULL,0
Sunny,1414,BE,NULL,56
Badger,1420,BE,NULL,175
Chandler,1422,BE,NULL,31
W1 - P645,1645,BE,NULL,47
W1 - P646,1646,BE,NULL,80
W1 - P650,1650,BE,NULL,269
W1 - P651,1651,BE,NULL,48
W1 - P655,1655,BE,NULL,141
W1 - P656,1656,BE,NULL,116
W1 - P657,1657,BE,NULL,179
W1 - P660,1660,BE,NULL,224
W1-P663,1663,BE,NULL,204
W1 - P664,1664,BE,NULL,371
W1 - P665,1665,BE,NULL,297
W1 - P667,1667,BE,NULL,109
W1 - P668,1668,BE,NULL,361
W1 - P669,1669,BE,NULL,153
W1 - P670,1670,BE,NULL,204
W1 - P674,1674,BE,NULL,154
W1 - P675,1675,BE,NULL,102
W1 - P676,1676,BE,NULL,329
W1 - P680,1680,BE,NULL,288
W1 - P681,1681,BE,NULL,205
W1 - P682,1682,BE,NULL,334
W1 - P683,1683,BE,NULL,212
W1 - P685,1685,BE,NULL,288
W1 - P686,1686,BE,NULL,236
W1 - P690,1690,BE,NULL,286
W1 - P691,1691,BE,NULL,39
Buena Vista,2401,BE,NULL,350
Prosser North,2403,BE,NULL,219
South,2404,BE,NULL,164
Riverside,2405,BE,NULL,241
Walnut Grove,2406,BE,NULL,143
Susie,2407,BE,NULL,18
Apricot,2408,BE,NULL,58
Bobbie,2409,BE,NULL,0
W2 - P560,2560,BE,NULL,126
W2 - P565,2565,BE,NULL,109
W2 - P570,2570,BE,NULL,207
W2-P574,2574,BE,NULL,127
W2 - P575,2575,BE,NULL,92
W2 - P580,2580,BE,NULL,144
W2 - P585,2585,BE,NULL,116
W2 - P590,2590,BE,NULL,154
W2 - P595,2595,BE,NULL,172
W2 - P600,2600,BE,NULL,111
W2 - P601,2601,BE,NULL,125
W2 - P605,2605,BE,NULL,161
W2 - P610,2610,BE,NULL,147
W2 - P615,2615,BE,NULL,63
W2 - P620,2620,BE,NULL,163
W2 - P625,2625,BE,NULL,227
W2 - P626,2626,BE,NULL,129
W2 - P630,2630,BE,NULL,206
W2 - P633,2633,BE,NULL,236
W2 - P634,2634,BE,NULL,300
W2 - P635,2635,BE,NULL,274
W2 - P636,2636,BE,NULL,227
W2 - P637,2637,BE,NULL,266
W2 - P638,2638,BE,NULL,264
W2 - P639,2639,BE,NULL,142
W2 - P640,2640,BE,NULL,210
W2 - P641,2641,BE,NULL,145
Benton North,3001,BE,NULL,282
