Row Label,PrecinctCode,County,Registered Voters,Bill Spencer,Mary M. Phillips
Total,-1,BE,NULL,25741,21031
Hanford 4,96,BE,NULL,0,0
Hanford 3,97,BE,NULL,0,0
Hanford 2,98,BE,NULL,0,0
Hanford 1,99,BE,NULL,0,0
450,450,BE,NULL,146,162
455,455,BE,NULL,94,154
460,460,BE,NULL,114,146
465,465,BE,NULL,131,164
470,470,BE,NULL,88,125
Carley(*),1020,BE,NULL,0,0
Onion(*),1021,BE,NULL,0,0
Crow Butte,1022,BE,NULL,24,8
Horse Heaven,1023,BE,NULL,22,18
Columbia(*),1060,BE,NULL,0,0
Black Rock(*),1061,BE,NULL,0,0
Expansion(*),1090,BE,NULL,0,0
Salmon,1091,BE,NULL,37,20
Paterson,1240,BE,NULL,10,10
Roe,1241,BE,NULL,14,3
Rattlesnake,1290,BE,NULL,40,26
Ida,1291,BE,NULL,0,0
Ridge,1292,BE,NULL,0,0
Reese,1360,BE,NULL,38,2
Pearson(*),1362,BE,NULL,0,0
Sacagawea(*),1363,BE,NULL,0,0
Wheat,1364,BE,NULL,0,0
Tumble Weed,1365,BE,NULL,33,20
Cook,1400,BE,NULL,10,5
Dot,1402,BE,NULL,92,45
McBee(*),1403,BE,NULL,0,0
Weidle,1404,BE,NULL,16,27
Reata,1406,BE,NULL,144,87
Elk,1407,BE,NULL,0,0
Griffin(*),1408,BE,NULL,0,0
Goose Ridge,1409,BE,NULL,43,23
Cone,1412,BE,NULL,101,69
Vineyard(*),1413,BE,NULL,0,0
Sunny,1414,BE,NULL,52,19
Badger,1420,BE,NULL,157,71
Chandler,1422,BE,NULL,24,16
W1 - P645,1645,BE,NULL,29,28
W1 - P646,1646,BE,NULL,56,40
W1 - P650,1650,BE,NULL,188,134
W1 - P651,1651,BE,NULL,30,33
W1 - P655,1655,BE,NULL,120,47
W1 - P656,1656,BE,NULL,78,53
W1 - P657,1657,BE,NULL,108,110
W1 - P660,1660,BE,NULL,128,135
W1-P663,1663,BE,NULL,160,86
W1 - P664,1664,BE,NULL,228,216
W1 - P665,1665,BE,NULL,202,142
W1 - P667,1667,BE,NULL,72,55
W1 - P668,1668,BE,NULL,214,216
W1 - P669,1669,BE,NULL,94,82
W1 - P670,1670,BE,NULL,127,110
W1 - P674,1674,BE,NULL,100,95
W1 - P675,1675,BE,NULL,79,46
W1 - P676,1676,BE,NULL,193,178
W1 - P680,1680,BE,NULL,195,154
W1 - P681,1681,BE,NULL,147,106
W1 - P682,1682,BE,NULL,221,174
W1 - P683,1683,BE,NULL,132,127
W1 - P685,1685,BE,NULL,213,129
W1 - P686,1686,BE,NULL,173,134
W1 - P690,1690,BE,NULL,176,165
W1 - P691,1691,BE,NULL,23,17
Buena Vista,2401,BE,NULL,234,204
Prosser North,2403,BE,NULL,161,112
South,2404,BE,NULL,107,111
Riverside,2405,BE,NULL,145,146
Walnut Grove,2406,BE,NULL,91,89
Susie,2407,BE,NULL,16,19
Apricot,2408,BE,NULL,45,19
Bobbie,2409,BE,NULL,0,0
W2 - P560,2560,BE,NULL,95,56
W2 - P565,2565,BE,NULL,60,49
W2 - P570,2570,BE,NULL,141,92
W2-P574,2574,BE,NULL,104,50
W2 - P575,2575,BE,NULL,68,43
W2 - P580,2580,BE,NULL,79,89
W2 - P585,2585,BE,NULL,78,69
W2 - P590,2590,BE,NULL,91,89
W2 - P595,2595,BE,NULL,129,71
W2 - P600,2600,BE,NULL,71,65
W2 - P601,2601,BE,NULL,81,55
W2 - P605,2605,BE,NULL,114,83
W2 - P610,2610,BE,NULL,85,92
W2 - P615,2615,BE,NULL,39,31
W2 - P620,2620,BE,NULL,114,74
W2 - P625,2625,BE,NULL,145,126
W2 - P626,2626,BE,NULL,76,71
W2 - P630,2630,BE,NULL,132,109
W2 - P633,2633,BE,NULL,144,157
W2 - P634,2634,BE,NULL,181,192
W2 - P635,2635,BE,NULL,171,146
W2 - P636,2636,BE,NULL,156,120
W2 - P637,2637,BE,NULL,170,143
W2 - P638,2638,BE,NULL,171,138
W2 - P639,2639,BE,NULL,110,65
W2 - P640,2640,BE,NULL,174,85
W2 - P641,2641,BE,NULL,100,76
Benton North,3001,BE,NULL,168,180
Benton South,3002,BE,NULL,126,115
Benton East,3003,BE,NULL,0,0
Legion,3101,BE,NULL,147,121
Kiona,3102,BE,NULL,225,187
Roza,3103,BE,NULL,0,0
Yakima,3104,BE,NULL,3,2
Demoss,3105,BE,NULL,4,13
Edgewater,3106,BE,NULL,113,96
Cherry,3107,BE,NULL,168,123
W3 - P500,3500,BE,NULL,24,27
W3 - P505,3505,BE,NULL,108,80
W3 - P510,3510,BE,NULL,57,66
W3-P511,3511,BE,NULL,13,7
W3 - P515,3515,BE,NULL,70,69
W3-P516,3516,BE,NULL,7,3
W3 - P520,3520,BE,NULL,55,41
W3 - P525,3525,BE,NULL,91,90
W3 - P530,3530,BE,NULL,95,50
W3 - P535,3535,BE,NULL,61,54
W3 - P540,3540,BE,NULL,137,109
W3 - P545,3545,BE,NULL,87,56
W3 - P550,3550,BE,NULL,151,140
W3 - P551,3551,BE,NULL,135,109
W3 - P552,3552,BE,NULL,175,107
W3 - P553,3553,BE,NULL,158,99
W3 - P555,3555,BE,NULL,117,107
W3 - P556,3556,BE,NULL,210,139
W3 - P557,3557,BE,NULL,188,121
W3 - P558,3558,BE,NULL,243,139
W3 - P559,3559,BE,NULL,218,133
W3 - P560,3560,BE,NULL,89,49
WR 1,4001,BE,NULL,73,66
WR 2,4002,BE,NULL,71,92
WR 3,4003,BE,NULL,73,56
WR 4,4004,BE,NULL,224,154
WR 5,4005,BE,NULL,69,43
WR 6,4006,BE,NULL,195,169
WR 7,4007,BE,NULL,187,149
WR 8,4008,BE,NULL,184,186
WR 9,4009,BE,NULL,123,79
WR 10,4010,BE,NULL,18,8
WR 11,4011,BE,NULL,174,107
WR12,4012,BE,NULL,214,137
WR13,4013,BE,NULL,134,84
WR14,4014,BE,NULL,221,177
WR15,4015,BE,NULL,135,101
WR 16,4016,BE,NULL,111,79
WR 17,4017,BE,NULL,124,79
Enterprise,4101,BE,NULL,109,87
Harrington,4102,BE,NULL,209,132
Red Mountain,4103,BE,NULL,150,94
Cascade,5602,BE,NULL,146,84
Clements,5603,BE,NULL,36,25
Finley,5606,BE,NULL,238,148
Hawthorne,5608,BE,NULL,97,79
Hedges,5609,BE,NULL,132,77
Jewel,5613,BE,NULL,25,14
Kennewick Valley,5615,BE,NULL,134,127
Umatilla,5619,BE,NULL,65,50
Vista,5621,BE,NULL,77,48
Washington,5622,BE,NULL,55,42
Yellowstone,5623,BE,NULL,84,67
Oak,5624,BE,NULL,77,56
Celilo,5625,BE,NULL,188,127
Randy,5626,BE,NULL,71,45
El Rancho,5627,BE,NULL,271,171
Mills,5628,BE,NULL,194,138
Ivey,5629,BE,NULL,115,76
Canyon,5630,BE,NULL,175,102
Miller(*),5631,BE,NULL,0,0
Candy(*),5632,BE,NULL,0,0
French,5633,BE,NULL,22,14
Shockley(*),5634,BE,NULL,0,0
Liberty,5635,BE,NULL,5,6
Gage(*),5636,BE,NULL,0,0
Orchard,5637,BE,NULL,9,8
White Bluffs,5638,BE,NULL,219,151
(none),5639,BE,NULL,163,95
105,6105,BE,NULL,86,79
