Row Label,PrecinctCode,County,Registered Voters,Stewart R. Andrew
Total,-1,SJ,NULL,5043
San Juan South East,11,SJ,NULL,232
San Juan South West,12,SJ,NULL,359
San Juan Central,13,SJ,NULL,302
San Juan West,14,SJ,NULL,293
San Juan North,15,SJ,NULL,279
San Juan East,16,SJ,NULL,268
Turn Point,17,SJ,NULL,145
Waldron &amp; Outer Is,21,SJ,NULL,31
Orcas West,22,SJ,NULL,419
Orcas Central,23,SJ,NULL,432
Eastsound,24,SJ,NULL,441
Orcas East,25,SJ,NULL,366
Blakely &amp; Outer Is,26,SJ,NULL,20
Lopez North,31,SJ,NULL,487
Lopez South,32,SJ,NULL,355
Decatur and Outer Is,33,SJ,NULL,17
Shaw,41,SJ,NULL,65
Friday Harbor North,101,SJ,NULL,300
Friday Harbor South,102,SJ,NULL,232
