Row Label,PrecinctCode,County,Registered Voters,Approved,Rejected
Total,-1,SN,NULL,1322,1688
BRYANT(*),11014021,SN,NULL,0,0
NORTH FORK(*),11014759,SN,NULL,0,0
TRAFTON,13914015,SN,NULL,101,141
JIM CREEK,13914053,SN,NULL,179,244
BURN HILL,13914264,SN,NULL,158,180
HEIGHTS,13914347,SN,NULL,96,219
PORTAGE,13914433,SN,NULL,66,55
STILLAGUAMISH,13914496,SN,NULL,76,49
JORDAN TRAILS,13914515,SN,NULL,85,88
PILOT,13914517,SN,NULL,156,189
ARNOT,13914519,SN,NULL,99,161
HUCKLEBERRY,13914533,SN,NULL,68,109
JORDAN BRIDGE,13914583,SN,NULL,56,30
PACKWOOD,23914020,SN,NULL,40,49
EDGECOMB,23914023,SN,NULL,112,127
