Row Label,PrecinctCode,County,Registered Voters,Katy Butler (Rapacz)
Total,-1,BE,NULL,33428
Hanford 4,96,BE,NULL,0
Hanford 3,97,BE,NULL,0
Hanford 2,98,BE,NULL,0
Hanford 1,99,BE,NULL,0
450,450,BE,NULL,231
455,455,BE,NULL,187
460,460,BE,NULL,167
465,465,BE,NULL,200
470,470,BE,NULL,154
Carley,1020,BE,NULL,0
Onion,1021,BE,NULL,0
Crow Butte,1022,BE,NULL,24
Horse Heaven,1023,BE,NULL,28
Columbia,1060,BE,NULL,0
Black Rock,1061,BE,NULL,1
Expansion,1090,BE,NULL,0
Salmon,1091,BE,NULL,34
Paterson,1240,BE,NULL,12
Roe,1241,BE,NULL,11
Rattlesnake,1290,BE,NULL,40
Ida,1291,BE,NULL,0
Ridge,1292,BE,NULL,0
Reese,1360,BE,NULL,22
Pearson,1362,BE,NULL,3
Sacagawea,1363,BE,NULL,1
Wheat,1364,BE,NULL,0
Tumble Weed,1365,BE,NULL,32
Cook,1400,BE,NULL,12
Dot,1402,BE,NULL,104
McBee,1403,BE,NULL,1
Weidle,1404,BE,NULL,35
Reata,1406,BE,NULL,166
Elk,1407,BE,NULL,0
Griffin,1408,BE,NULL,2
Goose Ridge,1409,BE,NULL,41
Cone,1412,BE,NULL,121
Vineyard,1413,BE,NULL,0
Sunny,1414,BE,NULL,44
Badger,1420,BE,NULL,144
Chandler,1422,BE,NULL,22
W1 - P645,1645,BE,NULL,52
W1 - P646,1646,BE,NULL,76
W1 - P650,1650,BE,NULL,231
W1 - P651,1651,BE,NULL,42
W1 - P655,1655,BE,NULL,124
W1 - P656,1656,BE,NULL,103
W1 - P657,1657,BE,NULL,166
W1 - P660,1660,BE,NULL,182
W1-P663,1663,BE,NULL,162
W1 - P664,1664,BE,NULL,314
W1 - P665,1665,BE,NULL,254
W1 - P667,1667,BE,NULL,100
W1 - P668,1668,BE,NULL,313
W1 - P669,1669,BE,NULL,132
W1 - P670,1670,BE,NULL,185
W1 - P674,1674,BE,NULL,140
W1 - P675,1675,BE,NULL,91
W1 - P676,1676,BE,NULL,287
W1 - P680,1680,BE,NULL,247
W1 - P681,1681,BE,NULL,191
W1 - P682,1682,BE,NULL,271
W1 - P683,1683,BE,NULL,182
W1 - P685,1685,BE,NULL,243
W1 - P686,1686,BE,NULL,195
W1 - P690,1690,BE,NULL,254
W1 - P691,1691,BE,NULL,36
Buena Vista,2401,BE,NULL,311
Prosser North,2403,BE,NULL,196
South,2404,BE,NULL,146
Riverside,2405,BE,NULL,210
Walnut Grove,2406,BE,NULL,131
Susie,2407,BE,NULL,17
Apricot,2408,BE,NULL,54
Bobbie,2409,BE,NULL,0
W2 - P560,2560,BE,NULL,108
W2 - P565,2565,BE,NULL,93
W2 - P570,2570,BE,NULL,177
W2-P574,2574,BE,NULL,108
W2 - P575,2575,BE,NULL,83
W2 - P580,2580,BE,NULL,124
W2 - P585,2585,BE,NULL,99
W2 - P590,2590,BE,NULL,149
W2 - P595,2595,BE,NULL,145
W2 - P600,2600,BE,NULL,104
W2 - P601,2601,BE,NULL,109
W2 - P605,2605,BE,NULL,135
W2 - P610,2610,BE,NULL,130
W2 - P615,2615,BE,NULL,57
W2 - P620,2620,BE,NULL,130
W2 - P625,2625,BE,NULL,205
W2 - P626,2626,BE,NULL,121
W2 - P630,2630,BE,NULL,184
W2 - P633,2633,BE,NULL,191
W2 - P634,2634,BE,NULL,253
W2 - P635,2635,BE,NULL,238
W2 - P636,2636,BE,NULL,193
W2 - P637,2637,BE,NULL,230
W2 - P638,2638,BE,NULL,220
W2 - P639,2639,BE,NULL,126
W2 - P640,2640,BE,NULL,188
W2 - P641,2641,BE,NULL,128
Benton North,3001,BE,NULL,250
Benton South,3002,BE,NULL,186
Benton East,3003,BE,NULL,0
Legion,3101,BE,NULL,170
Kiona,3102,BE,NULL,279
Roza,3103,BE,NULL,0
Yakima,3104,BE,NULL,3
Demoss,3105,BE,NULL,11
Edgewater,3106,BE,NULL,145
Cherry,3107,BE,NULL,223
W3 - P500,3500,BE,NULL,38
W3 - P505,3505,BE,NULL,145
W3 - P510,3510,BE,NULL,109
W3-P511,3511,BE,NULL,18
W3 - P515,3515,BE,NULL,112
W3-P516,3516,BE,NULL,11
W3 - P520,3520,BE,NULL,82
W3 - P525,3525,BE,NULL,116
W3 - P530,3530,BE,NULL,118
W3 - P535,3535,BE,NULL,94
W3 - P540,3540,BE,NULL,198
W3 - P545,3545,BE,NULL,114
W3 - P550,3550,BE,NULL,202
W3 - P551,3551,BE,NULL,185
W3 - P552,3552,BE,NULL,210
W3 - P553,3553,BE,NULL,189
W3 - P555,3555,BE,NULL,171
W3 - P556,3556,BE,NULL,268
W3 - P557,3557,BE,NULL,227
W3 - P558,3558,BE,NULL,271
W3 - P559,3559,BE,NULL,255
W3 - P560,3560,BE,NULL,94
WR 1,4001,BE,NULL,105
WR 2,4002,BE,NULL,126
WR 3,4003,BE,NULL,105
WR 4,4004,BE,NULL,261
WR 5,4005,BE,NULL,80
WR 6,4006,BE,NULL,239
WR 7,4007,BE,NULL,251
WR 8,4008,BE,NULL,261
WR 9,4009,BE,NULL,151
WR 10,4010,BE,NULL,20
WR 11,4011,BE,NULL,198
WR12,4012,BE,NULL,238
WR13,4013,BE,NULL,149
WR14,4014,BE,NULL,269
WR15,4015,BE,NULL,179
WR 16,4016,BE,NULL,145
WR 17,4017,BE,NULL,155
Enterprise,4101,BE,NULL,128
Harrington,4102,BE,NULL,228
Red Mountain,4103,BE,NULL,168
Cascade,5602,BE,NULL,172
Clements,5603,BE,NULL,38
Finley,5606,BE,NULL,286
Hawthorne,5608,BE,NULL,130
Hedges,5609,BE,NULL,154
Jewel,5613,BE,NULL,28
Kennewick Valley,5615,BE,NULL,193
Umatilla,5619,BE,NULL,86
Vista,5621,BE,NULL,89
Washington,5622,BE,NULL,75
Yellowstone,5623,BE,NULL,110
Oak,5624,BE,NULL,101
Celilo,5625,BE,NULL,215
Randy,5626,BE,NULL,72
El Rancho,5627,BE,NULL,269
Mills,5628,BE,NULL,246
Ivey,5629,BE,NULL,150
Canyon,5630,BE,NULL,186
Miller,5631,BE,NULL,1
Candy,5632,BE,NULL,5
French,5633,BE,NULL,25
Shockley,5634,BE,NULL,4
Liberty,5635,BE,NULL,9
Gage,5636,BE,NULL,4
Orchard,5637,BE,NULL,9
White Bluffs,5638,BE,NULL,251
(none),5639,BE,NULL,179
105,6105,BE,NULL,136
110,6110,BE,NULL,156
115,6115,BE,NULL,116
120,6120,BE,NULL,194
125,6125,BE,NULL,128
130,6130,BE,NULL,154
135,6135,BE,NULL,151
140,6140,BE,NULL,137
145,6145,BE,NULL,241
150,6150,BE,NULL,233
151,6151,BE,NULL,338
155,6155,BE,NULL,276
160,6160,BE,NULL,230
165,6165,BE,NULL,133
170,6170,BE,NULL,153
175,6175,BE,NULL,321
180,6180,BE,NULL,104
185,6185,BE,NULL,85
186,6186,BE,NULL,62
190,6190,BE,NULL,194
195,6195,BE,NULL,148
200,6200,BE,NULL,151
205,6205,BE,NULL,137
210,6210,BE,NULL,131
215,6215,BE,NULL,133
220,6220,BE,NULL,106
225,6225,BE,NULL,156
230,6230,BE,NULL,135
235,6235,BE,NULL,121
240,6240,BE,NULL,260
245,6245,BE,NULL,149
250,6250,BE,NULL,193
255,6255,BE,NULL,175
260,6260,BE,NULL,149
265,6265,BE,NULL,156
270,6270,BE,NULL,202
271,6271,BE,NULL,96
275,6275,BE,NULL,79
278,6278,BE,NULL,219
279,6279,BE,NULL,87
280,6280,BE,NULL,233
281,6281,BE,NULL,263
282,6282,BE,NULL,287
283,6283,BE,NULL,149
284,6284,BE,NULL,179
285,6285,BE,NULL,291
286,6286,BE,NULL,143
287,6287,BE,NULL,132
288,6288,BE,NULL,179
289,6289,BE,NULL,286
290,6290,BE,NULL,224
291,6291,BE,NULL,231
292,6292,BE,NULL,152
293,6293,BE,NULL,108
295,6295,BE,NULL,190
300,6300,BE,NULL,189
301,6301,BE,NULL,192
305,6305,BE,NULL,168
310,6310,BE,NULL,207
311,6311,BE,NULL,0
315,6315,BE,NULL,293
316,6316,BE,NULL,0
320,6320,BE,NULL,265
