Row Label,PrecinctCode,County,Registered Voters,Norm Johnson,Michael S. Brumback
Total,-1,KT,NULL,4435,3131
ALDER CREEK,1,KT,NULL,101,60
CENTERVILLE,2,KT,NULL,219,99
COLUMBUS,3,KT,NULL,23,14
E KLICKITAT,4,KT,NULL,46,39
F VALLEY,5,KT,NULL,188,158
GLENWOOD,6,KT,NULL,199,84
HUSUM,7,KT,NULL,187,166
LYLE,8,KT,NULL,230,159
MT BROOK,9,KT,NULL,157,124
N DALLES,11,KT,NULL,207,153
N F VALLEY,12,KT,NULL,224,181
PINE FOREST,13,KT,NULL,433,309
ROOSEVELT,14,KT,NULL,47,20
TROUT LAKE,16,KT,NULL,179,147
W KLICKITAT,17,KT,NULL,49,30
WISHRAM,19,KT,NULL,41,43
WOODLAND,20,KT,NULL,475,280
ORCHARD HTS,21,KT,NULL,145,96
APPLETON,22,KT,NULL,64,45
ALDERDALE,23,KT,NULL,24,15
E LYLE,24,KT,NULL,74,70
RIVER,27,KT,NULL,9,14
HGH PRAIRIE,28,KT,NULL,36,36
BINGEN,101,KT,NULL,64,67
GOLDENDALE 1,102,KT,NULL,246,149
GOLDENDALE 2,103,KT,NULL,243,131
GOLDENDALE 3,104,KT,NULL,180,115
WHITE SALMON,109,KT,NULL,217,210
N WHITE SALMON,110,KT,NULL,128,117
