Row Label,PrecinctCode,County,Registered Voters,Karla Jacks,Rick Hannold
Total,-1,IS,NULL,14720,14863
C WHIDBEY 01,150,IS,NULL,149,287
C WHIDBEY 02,151,IS,NULL,390,410
C WHIDBEY 03,152,IS,NULL,426,362
COUPEVILLE,153,IS,NULL,468,304
C WHIDBEY 04,154,IS,NULL,411,356
C WHIDBEY 05,155,IS,NULL,439,326
S WHIDBEY 01,160,IS,NULL,493,334
S WHIDBEY 02,161,IS,NULL,466,313
S WHIDBEY 03,162,IS,NULL,496,354
S WHIDBEY 04,163,IS,NULL,508,240
S WHIDBEY 05,164,IS,NULL,599,259
S WHIDBEY 06,165,IS,NULL,443,315
LANGLEY,166,IS,NULL,459,112
S WHIDBEY 07,167,IS,NULL,477,304
S WHIDBEY 08,168,IS,NULL,445,206
S WHIDBEY 09,169,IS,NULL,443,340
S WHIDBEY 10,170,IS,NULL,445,297
OAK HARBOR 01,201,IS,NULL,183,401
OAK HARBOR 02,202,IS,NULL,118,330
OAK HARBOR 03,203,IS,NULL,206,364
OAK HARBOR 04,204,IS,NULL,231,348
OAK HARBOR 05,205,IS,NULL,206,393
OAK HARBOR 06,206,IS,NULL,197,303
OAK HARBOR 07,207,IS,NULL,261,345
OAK HARBOR 08,208,IS,NULL,170,338
OAK HARBOR 09,209,IS,NULL,55,88
N WHIDBEY 06,251,IS,NULL,117,260
N WHIDBEY 07,252,IS,NULL,171,366
N WHIDBEY 08,253,IS,NULL,122,312
N WHIDBEY 09,254,IS,NULL,136,273
N WHIDBEY 10,255,IS,NULL,41,125
N WHIDBEY 11,256,IS,NULL,47,64
CAMANO 01,301,IS,NULL,310,227
CAMANO 02,302,IS,NULL,380,343
CAMANO 03,303,IS,NULL,401,300
CAMANO 04,304,IS,NULL,503,426
CAMANO 05,305,IS,NULL,420,352
CAMANO 06,306,IS,NULL,392,321
CAMANO 07,307,IS,NULL,329,289
CAMANO 08,308,IS,NULL,243,215
CAMANO 09,309,IS,NULL,365,326
CAMANO 10,310,IS,NULL,279,237
CAMANO 11,311,IS,NULL,377,297
N WHIDBEY 01,351,IS,NULL,214,492
N WHIDBEY 02,352,IS,NULL,189,467
N WHIDBEY 03,353,IS,NULL,155,346
N WHIDBEY 04,354,IS,NULL,231,526
N WHIDBEY 05,355,IS,NULL,114,270
