Row Label,PrecinctCode,County,Registered Voters,Maureen S. Walsh,Mary Ruth Edwards
Total,-1,BE,NULL,4697,5085
450,450,BE,NULL,126,167
455,455,BE,NULL,123,123
460,460,BE,NULL,135,116
465,465,BE,NULL,141,150
470,470,BE,NULL,94,114
Carley(*),1020,BE,NULL,0,0
Onion(*),1021,BE,NULL,0,0
Crow Butte,1022,BE,NULL,18,16
Horse Heaven,1023,BE,NULL,22,16
Black Rock(*),1061,BE,NULL,0,0
Expansion(*),1090,BE,NULL,0,0
Salmon,1091,BE,NULL,29,28
Paterson,1240,BE,NULL,9,11
Roe,1241,BE,NULL,6,11
Rattlesnake,1290,BE,NULL,16,42
Ida,1291,BE,NULL,0,0
Ridge,1292,BE,NULL,0,0
Reese,1360,BE,NULL,8,31
Pearson,1362,BE,NULL,3,2
Sacagawea(*),1363,BE,NULL,0,0
Wheat,1364,BE,NULL,0,0
Tumble Weed,1365,BE,NULL,16,40
Cook,1400,BE,NULL,13,3
Dot,1402,BE,NULL,53,74
McBee(*),1403,BE,NULL,0,0
Reata,1406,BE,NULL,134,89
Goose Ridge,1409,BE,NULL,29,38
Cone,1412,BE,NULL,101,67
Vineyard(*),1413,BE,NULL,0,0
Badger,1420,BE,NULL,110,122
Chandler,1422,BE,NULL,21,18
Buena Vista,2401,BE,NULL,169,255
Prosser North,2403,BE,NULL,111,159
South,2404,BE,NULL,106,115
Riverside,2405,BE,NULL,109,186
Walnut Grove,2406,BE,NULL,63,114
Susie,2407,BE,NULL,16,17
Apricot,2408,BE,NULL,32,31
Bobbie,2409,BE,NULL,0,0
Benton North,3001,BE,NULL,158,190
Benton South,3002,BE,NULL,119,119
Benton East,3003,BE,NULL,0,0
Legion,3101,BE,NULL,125,144
Kiona,3102,BE,NULL,165,252
Roza,3103,BE,NULL,0,0
Yakima(*),3104,BE,NULL,0,0
Demoss,3105,BE,NULL,7,10
Edgewater,3106,BE,NULL,92,123
Cherry,3107,BE,NULL,123,164
W3-P511,3511,BE,NULL,11,8
Red Mountain,4103,BE,NULL,114,133
Cascade,5602,BE,NULL,144,88
Finley,5606,BE,NULL,216,182
Hedges,5609,BE,NULL,117,99
Jewel,5613,BE,NULL,19,17
Kennewick Valley,5615,BE,NULL,145,116
Washington,5622,BE,NULL,54,44
Oak,5624,BE,NULL,74,65
Celilo,5625,BE,NULL,160,168
Randy,5626,BE,NULL,68,49
El Rancho,5627,BE,NULL,225,211
Mills,5628,BE,NULL,172,168
Ivey,5629,BE,NULL,108,88
Canyon,5630,BE,NULL,155,120
French,5633,BE,NULL,15,21
White Bluffs,5638,BE,NULL,165,208
(none),5639,BE,NULL,128,131
311,6311,BE,NULL,0,0
