Row Label,PrecinctCode,County,Registered Voters,Debra L. Stephens,John (Zamboni) Scannell
Total,-1,SJ,NULL,4702,1497
San Juan South East,11,SJ,NULL,215,62
San Juan South West,12,SJ,NULL,332,106
San Juan Central,13,SJ,NULL,292,100
San Juan West,14,SJ,NULL,300,98
San Juan North,15,SJ,NULL,263,70
San Juan East,16,SJ,NULL,240,56
Turn Point,17,SJ,NULL,147,39
Waldron &amp; Outer Is,21,SJ,NULL,37,22
Orcas West,22,SJ,NULL,364,112
Orcas Central,23,SJ,NULL,357,122
Eastsound,24,SJ,NULL,410,132
Orcas East,25,SJ,NULL,344,97
Blakely &amp; Outer Is,26,SJ,NULL,17,4
Lopez North,31,SJ,NULL,493,137
Lopez South,32,SJ,NULL,356,127
Decatur and Outer Is,33,SJ,NULL,24,6
Shaw,41,SJ,NULL,62,13
Friday Harbor North,101,SJ,NULL,257,118
Friday Harbor South,102,SJ,NULL,192,76
