Row Label,PrecinctCode,County,Registered Voters,Clint Didier,Dan Newhouse
Total,-1,BE,NULL,24955,25788
Hanford 4,96,BE,NULL,0,0
Hanford 3,97,BE,NULL,0,0
Hanford 2,98,BE,NULL,0,0
Hanford 1,99,BE,NULL,0,0
450,450,BE,NULL,101,218
455,455,BE,NULL,83,187
460,460,BE,NULL,102,167
465,465,BE,NULL,108,201
470,470,BE,NULL,77,142
Carley(*),1020,BE,NULL,0,0
Onion(*),1021,BE,NULL,0,0
Crow Butte,1022,BE,NULL,23,13
Horse Heaven,1023,BE,NULL,20,22
Columbia(*),1060,BE,NULL,0,0
Black Rock(*),1061,BE,NULL,0,0
Expansion(*),1090,BE,NULL,0,0
Salmon,1091,BE,NULL,44,26
Paterson,1240,BE,NULL,10,11
Roe,1241,BE,NULL,13,6
Rattlesnake,1290,BE,NULL,30,43
Ida,1291,BE,NULL,0,0
Ridge,1292,BE,NULL,0,0
Reese,1360,BE,NULL,27,13
Pearson(*),1362,BE,NULL,0,0
Sacagawea(*),1363,BE,NULL,0,0
Wheat,1364,BE,NULL,0,0
Tumble Weed,1365,BE,NULL,41,20
Cook,1400,BE,NULL,12,4
Dot,1402,BE,NULL,94,51
McBee(*),1403,BE,NULL,0,0
Weidle,1404,BE,NULL,30,20
Reata,1406,BE,NULL,119,135
Elk,1407,BE,NULL,0,0
Griffin,1408,BE,NULL,4,5
Goose Ridge,1409,BE,NULL,52,26
Cone,1412,BE,NULL,106,75
Vineyard(*),1413,BE,NULL,0,0
Sunny,1414,BE,NULL,41,35
Badger,1420,BE,NULL,156,95
Chandler,1422,BE,NULL,30,19
W1 - P645,1645,BE,NULL,26,30
W1 - P646,1646,BE,NULL,52,47
W1 - P650,1650,BE,NULL,194,151
W1 - P651,1651,BE,NULL,38,31
W1 - P655,1655,BE,NULL,108,75
W1 - P656,1656,BE,NULL,72,74
W1 - P657,1657,BE,NULL,121,113
W1 - P660,1660,BE,NULL,146,139
W1-P663,1663,BE,NULL,141,114
W1 - P664,1664,BE,NULL,221,268
W1 - P665,1665,BE,NULL,172,203
W1 - P667,1667,BE,NULL,73,64
W1 - P668,1668,BE,NULL,205,255
W1 - P669,1669,BE,NULL,85,94
W1 - P670,1670,BE,NULL,109,146
W1 - P674,1674,BE,NULL,110,112
W1 - P675,1675,BE,NULL,72,64
W1 - P676,1676,BE,NULL,178,211
W1 - P680,1680,BE,NULL,185,188
W1 - P681,1681,BE,NULL,121,155
W1 - P682,1682,BE,NULL,212,240
W1 - P683,1683,BE,NULL,117,166
W1 - P685,1685,BE,NULL,181,209
W1 - P686,1686,BE,NULL,160,170
W1 - P690,1690,BE,NULL,163,195
W1 - P691,1691,BE,NULL,29,15
Buena Vista,2401,BE,NULL,220,241
Prosser North,2403,BE,NULL,130,167
South,2404,BE,NULL,102,134
Riverside,2405,BE,NULL,169,151
Walnut Grove,2406,BE,NULL,93,105
Susie,2407,BE,NULL,12,27
Apricot,2408,BE,NULL,29,42
Bobbie,2409,BE,NULL,0,0
W2 - P560,2560,BE,NULL,98,65
W2 - P565,2565,BE,NULL,56,69
W2 - P570,2570,BE,NULL,143,98
W2-P574,2574,BE,NULL,71,85
W2 - P575,2575,BE,NULL,62,65
W2 - P580,2580,BE,NULL,80,108
W2 - P585,2585,BE,NULL,72,84
W2 - P590,2590,BE,NULL,111,89
W2 - P595,2595,BE,NULL,113,114
W2 - P600,2600,BE,NULL,82,66
W2 - P601,2601,BE,NULL,77,69
W2 - P605,2605,BE,NULL,122,95
W2 - P610,2610,BE,NULL,90,108
W2 - P615,2615,BE,NULL,47,33
W2 - P620,2620,BE,NULL,94,106
W2 - P625,2625,BE,NULL,127,171
W2 - P626,2626,BE,NULL,94,63
W2 - P630,2630,BE,NULL,111,152
W2 - P633,2633,BE,NULL,140,180
W2 - P634,2634,BE,NULL,151,243
W2 - P635,2635,BE,NULL,197,146
W2 - P636,2636,BE,NULL,143,160
W2 - P637,2637,BE,NULL,175,166
W2 - P638,2638,BE,NULL,196,137
W2 - P639,2639,BE,NULL,97,95
W2 - P640,2640,BE,NULL,162,125
W2 - P641,2641,BE,NULL,96,97
Benton North,3001,BE,NULL,170,185
Benton South,3002,BE,NULL,143,119
Benton East,3003,BE,NULL,0,0
Legion,3101,BE,NULL,155,135
Kiona,3102,BE,NULL,264,196
Roza,3103,BE,NULL,0,0
Yakima,3104,BE,NULL,3,2
Demoss,3105,BE,NULL,10,11
Edgewater,3106,BE,NULL,134,98
Cherry,3107,BE,NULL,163,148
W3 - P500,3500,BE,NULL,29,26
W3 - P505,3505,BE,NULL,103,102
W3 - P510,3510,BE,NULL,74,60
W3-P511,3511,BE,NULL,9,14
W3 - P515,3515,BE,NULL,68,79
W3-P516,3516,BE,NULL,5,9
W3 - P520,3520,BE,NULL,51,46
W3 - P525,3525,BE,NULL,81,113
W3 - P530,3530,BE,NULL,76,78
W3 - P535,3535,BE,NULL,67,57
W3 - P540,3540,BE,NULL,145,131
W3 - P545,3545,BE,NULL,86,64
W3 - P550,3550,BE,NULL,197,123
W3 - P551,3551,BE,NULL,140,117
W3 - P552,3552,BE,NULL,170,133
W3 - P553,3553,BE,NULL,157,113
W3 - P555,3555,BE,NULL,145,90
W3 - P556,3556,BE,NULL,197,188
W3 - P557,3557,BE,NULL,196,137
W3 - P558,3558,BE,NULL,231,182
W3 - P559,3559,BE,NULL,213,156
W3 - P560,3560,BE,NULL,89,72
WR 1,4001,BE,NULL,61,98
WR 2,4002,BE,NULL,75,94
WR 3,4003,BE,NULL,70,66
WR 4,4004,BE,NULL,224,188
WR 5,4005,BE,NULL,71,47
WR 6,4006,BE,NULL,210,204
WR 7,4007,BE,NULL,201,195
WR 8,4008,BE,NULL,213,189
WR 9,4009,BE,NULL,117,113
WR 10,4010,BE,NULL,12,16
WR 11,4011,BE,NULL,180,121
WR12,4012,BE,NULL,215,157
WR13,4013,BE,NULL,135,96
WR14,4014,BE,NULL,218,199
WR15,4015,BE,NULL,144,114
WR 16,4016,BE,NULL,125,71
WR 17,4017,BE,NULL,135,93
Enterprise,4101,BE,NULL,105,119
Harrington,4102,BE,NULL,198,171
Red Mountain,4103,BE,NULL,172,101
Cascade,5602,BE,NULL,133,118
Clements,5603,BE,NULL,30,39
Finley,5606,BE,NULL,257,175
Hawthorne,5608,BE,NULL,99,86
Hedges,5609,BE,NULL,139,86
Jewel,5613,BE,NULL,28,16
Kennewick Valley,5615,BE,NULL,160,120
Umatilla,5619,BE,NULL,88,46
Vista,5621,BE,NULL,82,55
Washington,5622,BE,NULL,65,46
Yellowstone,5623,BE,NULL,87,80
Oak,5624,BE,NULL,87,64
Celilo,5625,BE,NULL,179,167
Randy,5626,BE,NULL,75,54
El Rancho,5627,BE,NULL,237,241
Mills,5628,BE,NULL,210,163
Ivey,5629,BE,NULL,136,84
Canyon,5630,BE,NULL,151,145
Miller(*),5631,BE,NULL,0,0
Candy,5632,BE,NULL,5,2
French,5633,BE,NULL,24,13
Shockley,5634,BE,NULL,3,2
Liberty,5635,BE,NULL,8,3
Gage(*),5636,BE,NULL,0,0
Orchard,5637,BE,NULL,10,7
White Bluffs,5638,BE,NULL,252,167
(none),5639,BE,NULL,174,107
105,6105,BE,NULL,91,88
110,6110,BE,NULL,104,145
115,6115,BE,NULL,67,132
120,6120,BE,NULL,115,190
125,6125,BE,NULL,103,100
