Row Label,PrecinctCode,County,Registered Voters,Brenda Chilton
Total,-1,BE,NULL,40668
Hanford 4,96,BE,NULL,0
Hanford 3,97,BE,NULL,0
Hanford 2,98,BE,NULL,0
Hanford 1,99,BE,NULL,0
450,450,BE,NULL,268
455,455,BE,NULL,205
460,460,BE,NULL,206
465,465,BE,NULL,248
470,470,BE,NULL,175
Carley,1020,BE,NULL,1
Onion,1021,BE,NULL,0
Crow Butte,1022,BE,NULL,29
Horse Heaven,1023,BE,NULL,35
Columbia,1060,BE,NULL,0
Black Rock,1061,BE,NULL,1
Expansion,1090,BE,NULL,1
Salmon,1091,BE,NULL,48
Paterson,1240,BE,NULL,15
Roe,1241,BE,NULL,14
Rattlesnake,1290,BE,NULL,55
Ida,1291,BE,NULL,0
Ridge,1292,BE,NULL,0
Reese,1360,BE,NULL,28
Pearson,1362,BE,NULL,5
Sacagawea,1363,BE,NULL,1
Wheat,1364,BE,NULL,0
Tumble Weed,1365,BE,NULL,44
Cook,1400,BE,NULL,12
Dot,1402,BE,NULL,121
McBee,1403,BE,NULL,2
Weidle,1404,BE,NULL,41
Reata,1406,BE,NULL,198
Elk,1407,BE,NULL,0
Griffin,1408,BE,NULL,4
Goose Ridge,1409,BE,NULL,53
Cone,1412,BE,NULL,139
Vineyard,1413,BE,NULL,0
Sunny,1414,BE,NULL,59
Badger,1420,BE,NULL,183
Chandler,1422,BE,NULL,36
W1 - P645,1645,BE,NULL,53
W1 - P646,1646,BE,NULL,82
W1 - P650,1650,BE,NULL,290
W1 - P651,1651,BE,NULL,51
W1 - P655,1655,BE,NULL,150
W1 - P656,1656,BE,NULL,118
W1 - P657,1657,BE,NULL,188
W1 - P660,1660,BE,NULL,239
W1-P663,1663,BE,NULL,215
W1 - P664,1664,BE,NULL,390
W1 - P665,1665,BE,NULL,322
W1 - P667,1667,BE,NULL,112
W1 - P668,1668,BE,NULL,382
W1 - P669,1669,BE,NULL,156
W1 - P670,1670,BE,NULL,222
W1 - P674,1674,BE,NULL,171
W1 - P675,1675,BE,NULL,106
W1 - P676,1676,BE,NULL,343
W1 - P680,1680,BE,NULL,310
W1 - P681,1681,BE,NULL,217
W1 - P682,1682,BE,NULL,361
W1 - P683,1683,BE,NULL,225
W1 - P685,1685,BE,NULL,312
W1 - P686,1686,BE,NULL,252
W1 - P690,1690,BE,NULL,302
W1 - P691,1691,BE,NULL,39
Buena Vista,2401,BE,NULL,370
Prosser North,2403,BE,NULL,235
South,2404,BE,NULL,173
Riverside,2405,BE,NULL,257
Walnut Grove,2406,BE,NULL,154
Susie,2407,BE,NULL,22
Apricot,2408,BE,NULL,59
Bobbie,2409,BE,NULL,0
W2 - P560,2560,BE,NULL,133
W2 - P565,2565,BE,NULL,109
W2 - P570,2570,BE,NULL,221
W2-P574,2574,BE,NULL,129
W2 - P575,2575,BE,NULL,95
W2 - P580,2580,BE,NULL,149
W2 - P585,2585,BE,NULL,129
W2 - P590,2590,BE,NULL,159
W2 - P595,2595,BE,NULL,176
W2 - P600,2600,BE,NULL,121
W2 - P601,2601,BE,NULL,130
W2 - P605,2605,BE,NULL,173
W2 - P610,2610,BE,NULL,154
W2 - P615,2615,BE,NULL,64
W2 - P620,2620,BE,NULL,168
W2 - P625,2625,BE,NULL,237
W2 - P626,2626,BE,NULL,135
W2 - P630,2630,BE,NULL,214
W2 - P633,2633,BE,NULL,251
W2 - P634,2634,BE,NULL,325
W2 - P635,2635,BE,NULL,284
W2 - P636,2636,BE,NULL,255
W2 - P637,2637,BE,NULL,281
W2 - P638,2638,BE,NULL,284
W2 - P639,2639,BE,NULL,157
W2 - P640,2640,BE,NULL,232
W2 - P641,2641,BE,NULL,160
Benton North,3001,BE,NULL,301
Benton South,3002,BE,NULL,205
Benton East,3003,BE,NULL,0
Legion,3101,BE,NULL,216
Kiona,3102,BE,NULL,337
Roza,3103,BE,NULL,0
Yakima,3104,BE,NULL,5
Demoss,3105,BE,NULL,16
Edgewater,3106,BE,NULL,181
Cherry,3107,BE,NULL,243
W3 - P500,3500,BE,NULL,44
W3 - P505,3505,BE,NULL,171
W3 - P510,3510,BE,NULL,112
W3-P511,3511,BE,NULL,20
W3 - P515,3515,BE,NULL,124
W3-P516,3516,BE,NULL,10
W3 - P520,3520,BE,NULL,88
W3 - P525,3525,BE,NULL,133
W3 - P530,3530,BE,NULL,131
