Row Label,PrecinctCode,County,Registered Voters,Approved,Rejected
Total,-1,SP,NULL,47701,13801
PCT 3100,3100,SP,NULL,242,113
PCT 3101,3101,SP,NULL,213,106
PCT 3102,3102,SP,NULL,158,81
PCT 3103,3103,SP,NULL,187,94
PCT 3104,3104,SP,NULL,274,121
PCT 3105,3105,SP,NULL,245,97
PCT 3106,3106,SP,NULL,245,102
PCT 3107,3107,SP,NULL,263,122
PCT 3108,3108,SP,NULL,202,83
PCT 3109,3109,SP,NULL,244,109
PCT 3110,3110,SP,NULL,197,92
PCT 3111,3111,SP,NULL,192,100
PCT 3112,3112,SP,NULL,15,9
PCT 3113,3113,SP,NULL,286,129
PCT 3114,3114,SP,NULL,291,121
PCT 3115,3115,SP,NULL,298,118
PCT 3116,3116,SP,NULL,275,155
PCT 3117,3117,SP,NULL,193,86
PCT 3118,3118,SP,NULL,211,75
PCT 3119,3119,SP,NULL,243,102
PCT 3120,3120,SP,NULL,280,104
PCT 3121,3121,SP,NULL,247,127
PCT 3122,3122,SP,NULL,417,78
PCT 3123,3123,SP,NULL,227,123
PCT 3124,3124,SP,NULL,283,109
PCT 3125,3125,SP,NULL,250,106
PCT 3126,3126,SP,NULL,52,32
PCT 3127,3127,SP,NULL,334,42
PCT 3128,3128,SP,NULL,257,113
PCT 3200,3200,SP,NULL,320,46
PCT 3201,3201,SP,NULL,436,73
PCT 3202,3202,SP,NULL,227,48
PCT 3203,3203,SP,NULL,357,75
PCT 3204,3204,SP,NULL,309,43
PCT 3205,3205,SP,NULL,350,47
PCT 3206,3206,SP,NULL,273,79
PCT 3207,3207,SP,NULL,188,51
PCT 3208,3208,SP,NULL,306,137
PCT 3209,3209,SP,NULL,370,157
PCT 3210,3210,SP,NULL,378,72
PCT 3211,3211,SP,NULL,403,59
PCT 3212,3212,SP,NULL,352,50
PCT 3213,3213,SP,NULL,474,73
PCT 3214,3214,SP,NULL,404,83
PCT 3215,3215,SP,NULL,260,60
PCT 3216,3216,SP,NULL,526,123
PCT 3217,3217,SP,NULL,461,150
PCT 3218,3218,SP,NULL,542,65
PCT 3219,3219,SP,NULL,401,64
PCT 3220,3220,SP,NULL,535,57
PCT 3221,3221,SP,NULL,392,154
PCT 3222,3222,SP,NULL,208,40
PCT 3223,3223,SP,NULL,268,61
PCT 3300,3300,SP,NULL,360,102
PCT 3301,3301,SP,NULL,514,134
PCT 3302,3302,SP,NULL,335,149
PCT 3303,3303,SP,NULL,331,134
PCT 3304,3304,SP,NULL,332,133
PCT 3305,3305,SP,NULL,271,120
PCT 3306,3306,SP,NULL,345,124
PCT 3307,3307,SP,NULL,253,90
PCT 3308,3308,SP,NULL,333,147
PCT 3309,3309,SP,NULL,331,121
PCT 3310,3310,SP,NULL,362,123
PCT 3311,3311,SP,NULL,234,69
PCT 3312,3312,SP,NULL,433,175
PCT 3313,3313,SP,NULL,477,164
PCT 3314,3314,SP,NULL,298,116
PCT 3315,3315,SP,NULL,389,146
PCT 3316,3316,SP,NULL,488,104
PCT 3317,3317,SP,NULL,527,151
PCT 3318,3318,SP,NULL,322,122
PCT 3319,3319,SP,NULL,309,98
PCT 3320,3320,SP,NULL,296,65
PCT 3321,3321,SP,NULL,407,113
PCT 3322,3322,SP,NULL,271,111
PCT 3323,3323,SP,NULL,360,122
PCT 3324,3324,SP,NULL,353,103
PCT 3325,3325,SP,NULL,443,108
PCT 3326,3326,SP,NULL,141,49
PCT 3327,3327,SP,NULL,271,72
PCT 3328,3328,SP,NULL,357,102
PCT 3329,3329,SP,NULL,313,64
PCT 6100,6100,SP,NULL,221,58
PCT 6101,6101,SP,NULL,289,119
PCT 6102,6102,SP,NULL,326,90
PCT 6103,6103,SP,NULL,133,39
PCT 6104,6104,SP,NULL,232,85
PCT 6105,6105,SP,NULL,284,92
PCT 6106,6106,SP,NULL,400,148
PCT 6107,6107,SP,NULL,231,94
PCT 6108,6108,SP,NULL,284,54
PCT 6109,6109,SP,NULL,194,62
PCT 6200,6200,SP,NULL,495,132
PCT 6201,6201,SP,NULL,348,112
PCT 6202,6202,SP,NULL,403,110
PCT 6203,6203,SP,NULL,581,82
PCT 6204,6204,SP,NULL,679,89
PCT 6205,6205,SP,NULL,575,76
PCT 6206,6206,SP,NULL,550,111
PCT 6207,6207,SP,NULL,548,103
PCT 6208,6208,SP,NULL,529,105
PCT 6209,6209,SP,NULL,396,98
PCT 6210,6210,SP,NULL,530,85
PCT 6211,6211,SP,NULL,313,90
PCT 6212,6212,SP,NULL,231,83
PCT 6213,6213,SP,NULL,430,164
PCT 6214,6214,SP,NULL,391,90
PCT 6215,6215,SP,NULL,530,94
PCT 6216,6216,SP,NULL,441,88
PCT 6217,6217,SP,NULL,496,87
PCT 6218,6218,SP,NULL,426,87
PCT 6219,6219,SP,NULL,463,118
PCT 6220,6220,SP,NULL,488,123
