Row Label,PrecinctCode,County,Registered Voters,Sharon K. Vance
Total,-1,SM,NULL,2985
BEAR PRAIRIE,100,SM,NULL,104
MT. PLEASANT,101,SM,NULL,118
SKYE,102,SM,NULL,127
UPPER WASHOUGAL,103,SM,NULL,130
LEWIS RIVER,104,SM,NULL,10
CAPE HORN,105,SM,NULL,147
SKAMANIA,106,SM,NULL,177
CASCADES,201,SM,NULL,8
NORTH BONNEVILLE,202,SM,NULL,253
ROCK CREEK,203,SM,NULL,107
MAPLE VIEW,204,SM,NULL,205
NORTH STEVENSON,205,SM,NULL,156
SOUTH STEVENSON,206,SM,NULL,44
NELSON CREEK,207,SM,NULL,90
CARSON CREEK,208,SM,NULL,186
STABLER,300,SM,NULL,231
WIND RIVER,303,SM,NULL,171
HOT SPRINGS NORTH,304,SM,NULL,76
HOT SPRINGS SOUTH,305,SM,NULL,126
WIND MOUNTAIN,307,SM,NULL,88
CHENOWITH,309,SM,NULL,113
UNDERWOOD NORTH,310,SM,NULL,172
UNDERWOOD SOUTH,311,SM,NULL,146
