Row Label,PrecinctCode,County,Registered Voters,Approved,Rejected
Total,-1,OK,NULL,2480,1828
ALMA,1,OK,NULL,25,24
BOSTON,6,OK,NULL,51,31
CONCONULLY RURAL,10,OK,NULL,21,24
DUCK LAKE,11,OK,NULL,18,18
DULEY LAKE,12,OK,NULL,14,5
EASTSIDE,14,OK,NULL,63,34
ELMWAY,17,OK,NULL,18,23
MALOTT,20,OK,NULL,47,41
MISSION,23,OK,NULL,28,8
NORTH OMAK,29,OK,NULL,17,16
POGUE,32,OK,NULL,55,29
RIVERSIDE RURAL,33,OK,NULL,56,45
SPRING COULEE,36,OK,NULL,39,31
TUNK CREEK,38,OK,NULL,53,38
CHILIWIST,45,OK,NULL,34,22
OKANOGAN RURAL,47,OK,NULL,27,20
DISAUTEL,51,OK,NULL,15,7
HUDSON,52,OK,NULL,16,15
ORCHARD,54,OK,NULL,31,17
COPPLE,59,OK,NULL,34,33
ENGH,61,OK,NULL,45,26
SAND FLAT,72,OK,NULL,38,34
CANAL,79,OK,NULL,16,28
GREENACRES,86,OK,NULL,13,25
JOHNSON CREEK,87,OK,NULL,30,28
LIME BELT,89,OK,NULL,10,23
NORTH MALOTT,92,OK,NULL,37,43
OKANOGAN #1,105,OK,NULL,24,12
OKANOGAN #2,106,OK,NULL,26,27
OKANOGAN #3,107,OK,NULL,13,13
OKANOGAN #4,108,OK,NULL,29,23
OMAK #1,109,OK,NULL,16,18
OMAK #2,110,OK,NULL,31,22
OMAK #3,111,OK,NULL,14,7
OMAK #4,112,OK,NULL,25,12
OMAK #5,113,OK,NULL,34,22
OMAK #6,114,OK,NULL,25,25
OMAK #7,115,OK,NULL,26,20
OMAK #8,116,OK,NULL,21,4
OMAK #9,117,OK,NULL,49,27
CONCONULLY CITY,131,OK,NULL,58,30
RIVERSIDE CITY,134,OK,NULL,32,34
COLEMAN BUTTE,185,OK,NULL,24,29
ASTON,186,OK,NULL,22,14
WEST RIVER,187,OK,NULL,13,26
OMAK RIVER,188,OK,NULL,31,25
CHEROKEE,189,OK,NULL,41,23
NICHOLS,190,OK,NULL,17,9
LONE PINE,191,OK,NULL,27,5
OMAK MTN,192,OK,NULL,15,12
OMAK LAKE,193,OK,NULL,24,17
FIKER,194,OK,NULL,24,25
ROSS CANYON,195,OK,NULL,40,14
HENDRICK,196,OK,NULL,46,30
DIXON,197,OK,NULL,28,33
KERMEL,198,OK,NULL,25,29
GLOVER,199,OK,NULL,31,35
FLETCHER,200,OK,NULL,33,26
MOCK,201,OK,NULL,37,23
OMAK #10,202,OK,NULL,29,22
OMAK #11,203,OK,NULL,47,27
OMAK #12,204,OK,NULL,35,22
OMAK #13,205,OK,NULL,22,17
OMAK #14,206,OK,NULL,21,12
OMAK #15,207,OK,NULL,37,35
OMAK #16,208,OK,NULL,29,15
OMAK #17,209,OK,NULL,49,26
OMAK #18,210,OK,NULL,19,13
OMAK #19,211,OK,NULL,22,18
OMAK #20,212,OK,NULL,31,25
OMAK #21,213,OK,NULL,19,13
OMAK #22,214,OK,NULL,28,19
OMAK #23,215,OK,NULL,14,11
OMAK #24,216,OK,NULL,26,10
OKANOGAN #5,217,OK,NULL,43,13
OKANOGAN #6,218,OK,NULL,33,23
OKANOGAN #7,219,OK,NULL,15,10
OKANOGAN #8,220,OK,NULL,29,15
OKANOGAN #9,221,OK,NULL,29,23
OKANOGAN #10,222,OK,NULL,43,23
OKANOGAN #11,223,OK,NULL,33,19
OKANOGAN #12,224,OK,NULL,19,17
OKANOGAN #13,225,OK,NULL,16,15
SUNSET LAKES,236,OK,NULL,11,10
FLATS,237,OK,NULL,29,16
